geo,time,c_demox_eiu
caf,2012,1.7
caf,2013,-5
caf,2014,0
caf,2015,0.8
caf,2016,0.4
caf,2017,-0.9
caf,2018,0
can,2007,0
can,2008,0
can,2009,0.05
can,2010,0.05
can,2011,0
can,2012,0
can,2013,0
can,2014,0
can,2015,0
can,2016,0.7
can,2017,0
can,2018,0
che,2007,0.65
che,2008,0.65
che,2009,-0.3
che,2010,-0.3
che,2011,0
che,2012,0
che,2013,0
che,2014,0
che,2015,0
che,2016,0
che,2017,-0.6
che,2018,0
chl,2007,0
chl,2008,0
chl,2009,-1.1
chl,2010,-1.1
chl,2011,-1.3
chl,2012,0
chl,2013,2.6
chl,2014,0
chl,2015,0.4
chl,2016,-0.6
chl,2017,0.6
chl,2018,1.3
chn,2007,0.35
chn,2008,0.35
chn,2009,0.5
chn,2010,0.5
chn,2011,0
chn,2012,-1.4
chn,2013,0
chn,2014,0
chn,2015,1.4
chn,2016,0
chn,2017,-0.4
chn,2018,2.2
civ,2007,-0.55
civ,2008,-0.55
civ,2009,-1.25
civ,2010,-1.25
civ,2011,0.6
civ,2012,1.7
civ,2013,0
civ,2014,2.8
civ,2015,-2.2
civ,2016,5
civ,2017,1.2
civ,2018,2.2
cmr,2007,0.95
cmr,2008,0.95
cmr,2009,-0.25
cmr,2010,-0.25
cmr,2011,0
cmr,2012,0.3
cmr,2013,-0.3
cmr,2014,0
cmr,2015,2.5
cmr,2016,-2
cmr,2017,1.5
cmr,2018,-3.3
cod,2007,-2.4
cod,2008,-2.4
cod,2009,-0.65
cod,2010,-0.65
cod,2011,0
cod,2012,-2.3
cod,2013,-0.9
cod,2014,-0.8
cod,2015,3.6
cod,2016,-1.8
cod,2017,-3.2
cod,2018,-1.2
cog,2007,-1.25
cog,2008,-1.25
cog,2009,-0.25
cog,2010,-0.25
cog,2011,0
cog,2012,0
cog,2013,0
cog,2014,0
cog,2015,0.2
cog,2016,0
cog,2017,3.4
cog,2018,0.6
col,2007,0.7
col,2008,0.7
col,2009,0.05
col,2010,0.05
col,2011,0.8
col,2012,0
col,2013,-0.8
col,2014,0
col,2015,0.7
col,2016,0.5
col,2017,0
col,2018,2.9
com,2007,-1.6
com,2008,-1.6
com,2009,-0.85
com,2010,-0.85
com,2011,1.1
com,2012,0
com,2013,0
com,2014,0
com,2015,1.9
com,2016,0
com,2017,0
com,2018,0
cpv,2007,1.9
cpv,2008,1.9
cpv,2009,0.65
cpv,2010,0.65
cpv,2011,-0.2
cpv,2012,0
cpv,2013,0
cpv,2014,-1.1
cpv,2015,0
cpv,2016,1.3
cpv,2017,-0.6
cpv,2018,0
cri,2007,0
cri,2008,0
cri,2009,0
cri,2010,0
cri,2011,0.6
cri,2012,0
cri,2013,-0.7
cri,2014,0
cri,2015,-0.7
cri,2016,-0.8
cri,2017,0
cri,2018,1.9
cub,2007,0
cub,2008,0
cub,2009,0
cub,2010,0
cub,2011,0
cub,2012,0
cub,2013,0
cub,2014,0
cub,2015,0
cub,2016,-0.6
cub,2017,-1.5
cub,2018,-3.1
cyp,2007,0.5
cyp,2008,0.5
cyp,2009,-2.05
cyp,2010,-2.05
cyp,2011,0
cyp,2012,0
cyp,2013,0
cyp,2014,1.1
cyp,2015,1.3
cyp,2016,1.2
cyp,2017,-0.6
cyp,2018,0
cze,2007,0.1
cze,2008,0.1
cze,2009,0
cze,2010,0
cze,2011,0
cze,2012,0
cze,2013,-1.3
cze,2014,-1.2
cze,2015,0
cze,2016,-1.2
cze,2017,-2
cze,2018,0.7
deu,2007,0
deu,2008,0
deu,2009,-2.2
deu,2010,-2.2
deu,2011,-0.4
deu,2012,0
deu,2013,-0.3
deu,2014,3.3
deu,2015,0
deu,2016,-0.1
deu,2017,-0.2
deu,2018,0.7
dji,2007,0
dji,2008,0
dji,2009,-0.85
dji,2010,-0.85
dji,2011,4.8
dji,2012,0.6
dji,2013,2.2
dji,2014,0.3
dji,2015,-0.9
dji,2016,-0.7
dji,2017,-0.7
dji,2018,1.1
dnk,2007,0
dnk,2008,0
dnk,2009,0
dnk,2010,0
dnk,2011,0
dnk,2012,0
dnk,2013,-1.4
dnk,2014,-2.7
dnk,2015,0
dnk,2016,0.9
dnk,2017,0.2
dnk,2018,0
dom,2007,0.35
dom,2008,0.35
dom,2009,0
dom,2010,0
dom,2011,0
dom,2012,2.9
dom,2013,2.5
dom,2014,-0.7
dom,2015,0
dom,2016,0
dom,2017,-0.1
dom,2018,-1.2
dza,2007,0.75
dza,2008,0.75
dza,2009,0.6
dza,2010,0.6
dza,2011,0
dza,2012,3.9
dza,2013,0
dza,2014,0
dza,2015,1.2
dza,2016,-3.9
dza,2017,0
dza,2018,-0.6
ecu,2007,0
ecu,2008,0
ecu,2009,0.65
ecu,2010,0.65
ecu,2011,-0.5
ecu,2012,0.6
ecu,2013,0.9
ecu,2014,0
ecu,2015,0
ecu,2016,-0.6
ecu,2017,2.1
ecu,2018,2.5
egy,2007,-0.05
egy,2008,-0.05
egy,2009,-4.1
egy,2010,-4.1
egy,2011,8.8
egy,2012,6.1
egy,2013,-12.9
egy,2014,-1.1
egy,2015,0.2
egy,2016,1.3
egy,2017,0.5
egy,2018,0
eri,2007,0
eri,2008,0
eri,2009,0
eri,2010,0
eri,2011,0.3
eri,2012,0.6
eri,2013,0
eri,2014,0.4
eri,2015,-0.7
eri,2016,0
eri,2017,0
eri,2018,0
esp,2007,0.55
esp,2008,0.55
esp,2009,-1.45
esp,2010,-1.45
esp,2011,-1.4
esp,2012,0
esp,2013,0
esp,2014,0.3
esp,2015,2.5
esp,2016,0
esp,2017,-2.2
esp,2018,0
est,2007,-0.3
est,2008,-0.3
est,2009,0
est,2010,0
est,2011,-0.7
est,2012,0
est,2013,0
est,2014,1.3
est,2015,1.1
est,2016,0
est,2017,-0.6
est,2018,1.8
eth,2007,-1
eth,2008,-1
eth,2009,-4.2
eth,2010,-4.2
eth,2011,1.1
eth,2012,-0.7
eth,2013,1.1
eth,2014,-1.1
eth,2015,1.1
eth,2016,-2.3
eth,2017,-1.8
eth,2018,-0.7
fin,2007,0
fin,2008,0
fin,2009,-0.3
fin,2010,-0.3
fin,2011,-1.3
fin,2012,0
fin,2013,-0.3
fin,2014,0
fin,2015,0
fin,2016,0
fin,2017,0
fin,2018,1.1
fji,2007,-2.75
fji,2008,-2.75
fji,2009,-7.45
fji,2010,-7.45
fji,2011,0.5
fji,2012,0
fji,2013,-0.6
fji,2014,20
fji,2015,0.8
fji,2016,-0.5
fji,2017,2.1
fji,2018,0
fra,2007,0
fra,2008,0
fra,2009,-1.5
fra,2010,-1.5
fra,2011,0
fra,2012,1.1
fra,2013,0.4
fra,2014,1.2
fra,2015,-1.2
fra,2016,0
fra,2017,-1.2
fra,2018,0
gab,2007,1.4
gab,2008,1.4
gab,2009,1.45
gab,2010,1.45
gab,2011,1.9
gab,2012,0.8
gab,2013,2
gab,2014,0
gab,2015,0
gab,2016,-0.2
gab,2017,-1.3
gab,2018,0
gbr,2007,0.35
gbr,2008,0.35
gbr,2009,0.05
gbr,2010,0.05
gbr,2011,0
gbr,2012,0.5
gbr,2013,1
gbr,2014,0
gbr,2015,0
gbr,2016,0.5
gbr,2017,1.7
gbr,2018,0
gha,2007,0
gha,2008,0
gha,2009,3.35
gha,2010,3.35
gha,2011,0
gha,2012,0
gha,2013,3.1
gha,2014,0
gha,2015,5.3
gha,2016,-1.1
gha,2017,-0.6
gha,2018,-0.6
gin,2007,0.35
gin,2008,0.35
gin,2009,3.5
gin,2010,3.5
gin,2011,0
gin,2012,0
gin,2013,0.5
gin,2014,1.7
gin,2015,1.3
gin,2016,0
gin,2017,0
gin,2018,0
gmb,2007,-1
gmb,2008,-1
gmb,2009,-4.05
gmb,2010,-4.05
gmb,2011,0
gmb,2012,-0.7
gmb,2013,0
gmb,2014,-2.6
gmb,2015,-0.8
gmb,2016,-0.6
gmb,2017,11.5
gmb,2018,2.5
gnb,2007,-0.05
gnb,2008,-0.05
gnb,2009,0
gnb,2010,0
gnb,2011,0
gnb,2012,-5.6
gnb,2013,-1.7
gnb,2014,6.7
gnb,2015,0
gnb,2016,0.5
gnb,2017,0
gnb,2018,0
gnq,2007,0.5
gnq,2008,0.5
gnq,2009,-1.75
gnq,2010,-1.75
gnq,2011,-0.7
gnq,2012,0.6
gnq,2013,-0.6
gnq,2014,-1.1
gnq,2015,1.1
gnq,2016,-0.7
gnq,2017,1.1
gnq,2018,1.1
grc,2007,0
grc,2008,0
grc,2009,-1.05
grc,2010,-1.05
grc,2011,-2.7
grc,2012,0
grc,2013,0
grc,2014,-2
grc,2015,0
grc,2016,-2.2
grc,2017,0.6
grc,2018,0
gtm,2007,0
gtm,2008,0
gtm,2009,-0.1
gtm,2010,-0.1
gtm,2011,-1.7
gtm,2012,0
gtm,2013,-0.7
gtm,2014,0
gtm,2015,1.1
gtm,2016,0
gtm,2017,-0.6
gtm,2018,-2.6
guy,2007,-0.15
guy,2008,-0.15
guy,2009,-0.35
guy,2010,-0.35
guy,2011,0
guy,2012,0
guy,2013,0
guy,2014,-1.4
guy,2015,1.4
guy,2016,2
guy,2017,2.1
guy,2018,2.1
hkg,2007,-0.9
hkg,2008,-0.9
hkg,2009,0.35
hkg,2010,0.35
hkg,2011,0
hkg,2012,5
hkg,2013,0
hkg,2014,0.4
hkg,2015,0.4
hkg,2016,-0.8
hkg,2017,-1.1
hkg,2018,-1.6
hnd,2007,-0.35
hnd,2008,-0.35
hnd,2009,-2.1
hnd,2010,-2.1
hnd,2011,0.8
hnd,2012,0
hnd,2013,0
hnd,2014,0
hnd,2015,0
hnd,2016,0.8
hnd,2017,-2
hnd,2018,-0.9
hrv,2007,0
hrv,2008,0
hrv,2009,-1.15
hrv,2010,-1.15
hrv,2011,-0.8
hrv,2012,2
hrv,2013,0
hrv,2014,0
hrv,2015,0
hrv,2016,-1.8
hrv,2017,-1.2
hrv,2018,-0.6
hti,2007,0
hti,2008,0
hti,2009,-0.95
hti,2010,-0.95
hti,2011,0
hti,2012,-0.4
hti,2013,-0.2
hti,2014,-1.2
hti,2015,1.2
hti,2016,0.8
hti,2017,0.1
hti,2018,8.8
hun,2007,-0.45
hun,2008,-0.45
hun,2009,-1.15
hun,2010,-1.15
hun,2011,-1.7
hun,2012,-0.8
hun,2013,0
hun,2014,-0.6
hun,2015,-0.6
hun,2016,-1.2
hun,2017,-0.8
hun,2018,-0.1
idn,2007,-0.35
idn,2008,-0.35
idn,2009,0.95
idn,2010,0.95
idn,2011,0
idn,2012,2.3
idn,2013,0.6
idn,2014,1.3
idn,2015,0.8
idn,2016,-0.6
idn,2017,-5.8
idn,2018,0
ind,2007,0.6
ind,2008,0.6
ind,2009,-2.6
ind,2010,-2.6
ind,2011,0.2
ind,2012,2.2
ind,2013,1.7
ind,2014,2.3
ind,2015,-1.8
ind,2016,0.7
ind,2017,-5.8
ind,2018,0
irl,2007,0
irl,2008,0
irl,2009,-1.1
irl,2010,-1.1
irl,2011,-2.3
irl,2012,0
irl,2013,1.2
irl,2014,0.4
irl,2015,1.3
irl,2016,3
irl,2017,0
irl,2018,0
irn,2007,-0.5
irn,2008,-0.5
irn,2009,-4.45
irn,2010,-4.45
irn,2011,0.4
irn,2012,0
irn,2013,0
irn,2014,0
irn,2015,1.8
irn,2016,1.8
irn,2017,1.1
irn,2018,0
irq,2007,-0.05
irq,2008,-0.05
irq,2009,0
irq,2010,0
irq,2011,0.3
irq,2012,0.7
irq,2013,0
irq,2014,1.3
irq,2015,-1.5
irq,2016,0
irq,2017,0.1
irq,2018,-0.3
isl,2007,-0.3
isl,2008,-0.3
isl,2009,0
isl,2010,0
isl,2011,0
isl,2012,0
isl,2013,0
isl,2014,-0.7
isl,2015,0
isl,2016,-0.8
isl,2017,0.8
isl,2018,0
isr,2007,1
isr,2008,1
isr,2009,0
isr,2010,0
isr,2011,0.5
isr,2012,0
isr,2013,0
isr,2014,1
isr,2015,1.4
isr,2016,0.8
isr,2017,-0.6
isr,2018,0
ita,2007,1.25
ita,2008,1.25
ita,2009,-0.75
ita,2010,-0.75
ita,2011,-0.9
ita,2012,0
ita,2013,1.1
ita,2014,0
ita,2015,1.3
ita,2016,0
ita,2017,0
ita,2018,-2.7
jam,2007,-0.65
jam,2008,-0.65
jam,2009,0
jam,2010,0
jam,2011,-0.8
jam,2012,2.6
jam,2013,0
jam,2014,0
jam,2015,0
jam,2016,0
jam,2017,-1
jam,2018,-2.7
jor,2007,0.05
jor,2008,0.05
jor,2009,-0.95
jor,2010,-0.95
jor,2011,1.5
jor,2012,-1.3
jor,2013,0
jor,2014,0
jor,2015,1
jor,2016,1
jor,2017,-0.9
jor,2018,0.6
jpn,2007,0.5
jpn,2008,0.5
jpn,2009,-0.85
jpn,2010,-0.85
jpn,2011,0
jpn,2012,0
jpn,2013,0
jpn,2014,0
jpn,2015,-1.2
jpn,2016,0.3
jpn,2017,-1.1
jpn,2018,1.1
kaz,2007,-0.85
kaz,2008,-0.85
kaz,2009,-0.75
kaz,2010,-0.75
kaz,2011,-0.6
kaz,2012,-2.9
kaz,2013,1.1
kaz,2014,1.1
kaz,2015,-1.1
kaz,2016,0
kaz,2017,0
kaz,2018,-1.2
ken,2007,-1.45
ken,2008,-1.45
ken,2009,-0.4
ken,2010,-0.4
ken,2011,0
ken,2012,0
ken,2013,4.2
ken,2014,0
ken,2015,2
ken,2016,0
ken,2017,-2.2
ken,2018,0
kgz,2007,-0.15
kgz,2008,-0.15
kgz,2009,1.3
kgz,2010,1.3
kgz,2011,0.3
kgz,2012,3.5
kgz,2013,0
kgz,2014,5.5
kgz,2015,0.9
kgz,2016,-4
kgz,2017,1.8
kgz,2018,0
khm,2007,0.5
khm,2008,0.5
khm,2009,0
khm,2010,0
khm,2011,0
khm,2012,0.9
khm,2013,-3.6
khm,2014,1.8
khm,2015,-5.1
khm,2016,0
khm,2017,-6.4
khm,2018,-0.4
kor,2007,0.65
kor,2008,0.65
kor,2009,0.5
kor,2010,0.5
kor,2011,-0.5
kor,2012,0.7
kor,2013,-0.7
kor,2014,0
kor,2015,-0.9
kor,2016,-0.5
kor,2017,0.8
kor,2018,0
kwt,2007,1.5
kwt,2008,1.5
kwt,2009,2.45
kwt,2010,2.45
kwt,2011,-1.4
kwt,2012,0.4
kwt,2013,0
kwt,2014,0
kwt,2015,0.7
kwt,2016,0
kwt,2017,0
kwt,2018,0
lao,2007,0
lao,2008,0
lao,2009,0
lao,2010,0
lao,2011,0
lao,2012,2.2
lao,2013,-1.1
lao,2014,0
lao,2015,0
lao,2016,1.6
lao,2017,0
lao,2018,0
lbn,2007,-1
lbn,2008,-1
lbn,2009,1
lbn,2010,1
lbn,2011,-5
lbn,2012,-2.7
lbn,2013,0
lbn,2014,0.7
lbn,2015,-2.6
lbn,2016,0
lbn,2017,-1.4
lbn,2018,-0.9
lbr,2007,0.15
lbr,2008,0.15
lbr,2009,-0.9
lbr,2010,-0.9
lbr,2011,0
lbr,2012,-1.2
lbr,2013,0
lbr,2014,0
lbr,2015,0
lbr,2016,3.6
lbr,2017,-0.8
lbr,2018,1.2
lby,2007,0.8
lby,2008,0.8
lby,2009,-0.3
lby,2010,-0.3
lby,2011,16.1
lby,2012,16
lby,2013,-3.3
lby,2014,-10.2
lby,2015,-15.5
lby,2016,0
lby,2017,0.7
lby,2018,-1.3
lka,2007,0.15
lka,2008,0.15
lka,2009,0.15
lka,2010,0.15
lka,2011,-0.6
lka,2012,-8.3
lka,2013,-0.6
lka,2014,0
lka,2015,7.3
lka,2016,0.6
lka,2017,0
lka,2018,-2.9
lso,2007,-0.95
lso,2008,-0.95
lso,2009,-1.35
lso,2010,-1.35
lso,2011,3.1
lso,2012,3.3
lso,2013,0
lso,2014,0
lso,2015,-0.7
lso,2016,0
lso,2017,0.5
lso,2018,0
ltu,2007,-0.35
ltu,2008,-0.35
ltu,2009,-0.6
ltu,2010,-0.6
ltu,2011,0
ltu,2012,0
ltu,2013,3
ltu,2014,0
ltu,2015,0
ltu,2016,-0.7
ltu,2017,-0.6
ltu,2018,0.9
lux,2007,0
lux,2008,0
lux,2009,-1.1
lux,2010,-1.1
lux,2011,0
lux,2012,0
lux,2013,0
lux,2014,0
lux,2015,0
lux,2016,-0.7
lux,2017,0
lux,2018,0
lva,2007,-0.7
lva,2008,-0.7
lva,2009,-0.9
lva,2010,-0.9
lva,2011,0
lva,2012,0
lva,2013,0
lva,2014,4.3
lva,2015,-1.1
lva,2016,-0.6
lva,2017,-0.6
lva,2018,1.3
mar,2007,-0.1
mar,2008,-0.1
mar,2009,-0.45
mar,2010,-0.45
mar,2011,0.4
mar,2012,2.4
mar,2013,0
mar,2014,-0.7
mar,2015,6.6
mar,2016,1.1
mar,2017,1
mar,2018,1.2
mda,2007,0
mda,2008,0
mda,2009,-0.85
mda,2010,-0.85
mda,2011,0
mda,2012,-0.1
mda,2013,0
mda,2014,0
mda,2015,0.3
mda,2016,-3.4
mda,2017,-0.7
mda,2018,-0.9
mdg,2007,-1.25
mdg,2008,-1.25
mdg,2009,-8.15
mdg,2010,-8.15
mdg,2011,-0.1
mdg,2012,0
mdg,2013,3.9
mdg,2014,1
mdg,2015,4.3
mdg,2016,2.2
mdg,2017,0.4
mdg,2018,1.1
mex,2007,0.55
mex,2008,0.55
mex,2009,0.75
mex,2010,0.75
mex,2011,0
mex,2012,-0.3
mex,2013,0.1
mex,2014,-2.3
mex,2015,-1.3
mex,2016,-0.8
mex,2017,-0.6
mex,2018,-2.2
mkd,2007,-0.6
mkd,2008,-0.6
mkd,2009,-0.25
mkd,2010,-0.25
mkd,2011,0
mkd,2012,0
mkd,2013,0
mkd,2014,0.9
mkd,2015,-2.3
mkd,2016,-7.9
mkd,2017,3.4
mkd,2018,3
mli,2007,-0.6
mli,2008,-0.6
mli,2009,0.7
mli,2010,0.7
mli,2011,3.5
mli,2012,-12.4
mli,2013,7.8
mli,2014,-1.1
mli,2015,-0.9
mli,2016,0
mli,2017,-0.6
mli,2018,-2.3
mlt,2007,0
mlt,2008,0
mlt,2009,-0.55
mlt,2010,-0.55
mlt,2011,0
mlt,2012,0
mlt,2013,0
mlt,2014,1.1
mlt,2015,0
mlt,2016,0
mlt,2017,-2.4
mlt,2018,0.6
mmr,2007,0
mmr,2008,0
mmr,2009,0
mmr,2010,0
mmr,2011,0
mmr,2012,5.8
mmr,2013,4.1
mmr,2014,2.9
mmr,2015,10.9
mmr,2016,0.6
mmr,2017,-3.7
mmr,2018,0
mne,2007,-0.7
mne,2008,-0.7
mne,2009,-0.8
mne,2010,-0.8
mne,2011,-1.2
mne,2012,-1
mne,2013,-1.1
mne,2014,0
mne,2015,0.7
mne,2016,-2.9
mne,2017,-0.3
mne,2018,0.5
mng,2007,0
mng,2008,0
mng,2009,-1.2
mng,2010,-1.2
mng,2011,-1.3
mng,2012,1.2
mng,2013,1.6
mng,2014,1.1
mng,2015,0
mng,2016,0
mng,2017,-1.2
mng,2018,0
moz,2007,1.05
moz,2008,1.05
moz,2009,-2.95
moz,2010,-2.95
moz,2011,0
moz,2012,-0.2
moz,2013,-1.1
moz,2014,-1.1
moz,2015,-0.6
moz,2016,-5.8
moz,2017,0
moz,2018,-1.7
mrt,2007,3.95
mrt,2008,3.95
mrt,2009,-0.25
mrt,2010,-0.25
mrt,2011,3.1
mrt,2012,0
mrt,2013,0
mrt,2014,0
mrt,2015,-2.1
mrt,2016,0
mrt,2017,-1.4
mrt,2018,0
mus,2007,0
mus,2008,0
mus,2009,0
mus,2010,0
mus,2011,0
mus,2012,1.3
mus,2013,0
mus,2014,0
mus,2015,1.1
mus,2016,0
mus,2017,-0.6
mus,2018,0
mwi,2007,0.8
mwi,2008,0.8
mwi,2009,3.55
mwi,2010,3.55
mwi,2011,0
mwi,2012,2.4
mwi,2013,-0.8
mwi,2014,-3.4
mwi,2015,-1.1
mwi,2016,0
mwi,2017,-0.6
mwi,2018,0
mys,2007,1.9
mys,2008,1.9
mys,2009,-0.85
mys,2010,-0.85
mys,2011,0
mys,2012,2.2
mys,2013,0.8
mys,2014,0
mys,2015,-0.6
mys,2016,1.1
mys,2017,0
mys,2018,3.4
nam,2007,-0.3
nam,2008,-0.3
nam,2009,-1.25
nam,2010,-1.25
nam,2011,0.1
nam,2012,0
nam,2013,0
nam,2014,0
nam,2015,0.7
nam,2016,0
nam,2017,0
nam,2018,-0.6
ner,2007,-0.65
ner,2008,-0.65
ner,2009,-0.15
ner,2010,-0.15
ner,2011,7.8
ner,2012,0
ner,2013,-0.8
ner,2014,-0.6
ner,2015,-1.7
ner,2016,1.1
ner,2017,-2
ner,2018,0
nga,2007,0.05
nga,2008,0.05
nga,2009,-0.3
nga,2010,-0.3
nga,2011,3.6
nga,2012,-0.6
nga,2013,0
nga,2014,-0.1
nga,2015,8.6
nga,2016,-1.2
nga,2017,-0.6
nga,2018,0
nic,2007,1.95
nic,2008,1.95
nic,2009,-1.7
nic,2010,-1.7
nic,2011,-1.7
nic,2012,0
nic,2013,-1
nic,2014,-1.4
nic,2015,-0.6
nic,2016,-4.5
nic,2017,-1.5
nic,2018,-10.3
nld,2007,-0.65
nld,2008,-0.65
nld,2009,-2.7
nld,2010,-2.7
nld,2011,0
nld,2012,0
nld,2013,-1.5
nld,2014,0.8
nld,2015,0
nld,2016,-1.2
nld,2017,0.9
nld,2018,0
nor,2007,0.65
nor,2008,0.65
nor,2009,0.6
nor,2010,0.6
nor,2011,0
nor,2012,1.3
nor,2013,0
nor,2014,0
nor,2015,0
nor,2016,0
nor,2017,-0.6
nor,2018,0
npl,2007,3.15
npl,2008,3.15
npl,2009,0.95
npl,2010,0.95
npl,2011,0
npl,2012,-0.8
npl,2013,6.1
npl,2014,0
npl,2015,0
npl,2016,0.9
npl,2017,3.2
npl,2018,0
nzl,2007,0.9
nzl,2008,0.9
nzl,2009,0.35
nzl,2010,0.35
nzl,2011,0
nzl,2012,0
nzl,2013,0
nzl,2014,0
nzl,2015,0
nzl,2016,0
nzl,2017,0
nzl,2018,0
omn,2007,1.05
omn,2008,1.05
omn,2009,-0.6
omn,2010,-0.6
omn,2011,4
omn,2012,0
omn,2013,0
omn,2014,-1.1
omn,2015,-1.1
omn,2016,0
omn,2017,0
omn,2018,0
pak,2007,2.7
pak,2008,2.7
pak,2009,0.45
pak,2010,0.45
pak,2011,0
pak,2012,0.2
pak,2013,0.7
pak,2014,0
pak,2015,-2.4
