geo,economical_infrastructure_aid_given_percent_of_aid,time
deu,28.89,1995
deu,36.08,1996
deu,26.10,1997
deu,15.06,1998
deu,34.30,1999
deu,17.73,2000
deu,25.02,2001
deu,18.46,2002
deu,18.15,2003
deu,26.18,2004
deu,24.20,2005
deu,24.26,2006
deu,21.79,2007
grc,18.39,1997
grc,5.49,1998
grc,2.58,1999
grc,4.85,2000
grc,5.11,2001
grc,3.39,2002
grc,0.99,2003
grc,6.77,2004
grc,12.62,2005
grc,11.47,2006
grc,3.89,2007
irl,0.79,1985
irl,1.97,1986
irl,0.46,1987
irl,3.16,1988
irl,3.02,1989
irl,4.09,1990
irl,6.29,1991
irl,10.04,1992
irl,16.99,1994
irl,11.02,1995
irl,11.02,1996
irl,8.71,1998
irl,10.02,1999
irl,3.40,2000
irl,3.97,2001
irl,3.28,2002
irl,2.35,2003
irl,3.37,2004
irl,2.43,2005
irl,1.65,2006
irl,1.91,2007
ita,41.97,1967
ita,65.63,1968
ita,7.63,1975
ita,11.14,1977
ita,6.12,1978
ita,8.83,1979
ita,0.22,1980
ita,16.56,1981
ita,25.08,1982
ita,28.85,1983
ita,25.89,1984
ita,31.81,1985
ita,32.16,1986
ita,26.75,1987
ita,25.82,1988
ita,28.25,1989
ita,27.79,1990
ita,38.01,1991
ita,32.15,1992
ita,26.24,1993
ita,45.19,1994
ita,43.53,1995
ita,19.21,1996
ita,44.40,1997
ita,5.41,1998
ita,9.47,1999
ita,6.07,2000
ita,9.86,2001
ita,3.96,2002
ita,6.57,2003
ita,6.12,2004
ita,40.20,2005
ita,36.09,2006
ita,15.37,2007
jpn,51.40,1967
jpn,92.29,1968
jpn,81.07,1969
jpn,69.30,1970
jpn,35.26,1971
jpn,38.85,1972
jpn,30.51,1973
jpn,36.99,1974
jpn,56.44,1975
jpn,46.55,1976
jpn,50.05,1977
jpn,50.76,1978
jpn,41.84,1979
jpn,58.35,1980
jpn,40.71,1981
jpn,54.03,1982
jpn,50.17,1983
jpn,35.63,1984
jpn,44.39,1985
jpn,45.23,1986
jpn,61.42,1987
jpn,50.93,1988
jpn,46.37,1989
jpn,42.95,1990
jpn,63.22,1991
jpn,39.39,1992
jpn,49.12,1993
jpn,50.17,1994
jpn,53.41,1995
jpn,48.58,1996
jpn,53.13,1997
jpn,50.97,1998
jpn,45.54,1999
jpn,45.78,2000
jpn,47.64,2001
jpn,48.60,2002
jpn,44.74,2003
jpn,48.56,2004
jpn,43.26,2005
jpn,42.62,2006
jpn,34.64,2007
lux,10.92,1992
lux,7.67,1993
lux,10.30,1995
lux,10.30,1996
lux,2.62,1997
lux,2.75,1998
lux,3.06,1999
lux,3.61,2004
lux,4.17,2005
lux,5.09,2006
lux,12.11,2007
nld,52.12,1968
nld,75.84,1969
nld,59.94,1970
nld,18.40,1971
nld,13.13,1972
nld,15.90,1973
nld,10.10,1974
nld,7.95,1975
nld,22.18,1976
nld,20.40,1977
nld,11.94,1978
nld,17.29,1979
nld,29.92,1980
nld,17.91,1981
nld,19.78,1982
nld,19.02,1983
nld,23.14,1984
nld,21.94,1985
nld,22.02,1986
nld,24.60,1987
nld,29.97,1988
nld,27.91,1989
nld,14.28,1990
nld,5.59,1991
nld,8.95,1992
nld,9.94,1993
nld,14.99,1994
nld,19.61,1995
nld,16.05,1996
nld,11.52,1997
nld,13.23,1998
nld,9.90,1999
nld,12.79,2000
nld,13.12,2001
nld,17.36,2002
nld,17.36,2003
nld,19.96,2004
nld,13.44,2005
nld,14.93,2006
nld,20.11,2007
nzl,27.12,1973
nzl,32.50,1974
nzl,43.27,1975
nzl,43.95,1976
nzl,21.81,1977
nzl,25.36,1978
nzl,33.91,1979
nzl,32.03,1980
nzl,27.90,1981
nzl,33.81,1982
nzl,41.23,1983
nzl,44.09,1984
nzl,35.58,1985
nzl,37.07,1986
nzl,9.56,1987
nzl,3.75,1988
nzl,0.57,1990
nzl,5.84,1991
nzl,7.07,1992
nzl,5.78,1993
nzl,12.49,1994
nzl,12.49,1995
nzl,7.56,1998
nzl,7.33,1999
nzl,5.95,2000
nzl,5.83,2001
nzl,7.26,2002
nzl,5.97,2003
nzl,5.27,2004
nzl,2.80,2005
nzl,8.12,2006
nzl,9.88,2007
nor,0.53,1967
nor,1.35,1968
nor,47.13,1969
nor,11.58,1970
nor,17.14,1971
nor,15.96,1972
nor,10.57,1973
nor,22.93,1974
nor,12.27,1975
nor,31.08,1976
nor,38.55,1977
nor,30.49,1978
nor,36.19,1979
nor,39.05,1980
nor,20.77,1981
nor,28.06,1982
nor,33.17,1983
nor,27.18,1984
nor,29.25,1985
nor,18.33,1986
nor,19.81,1987
nor,21.23,1988
nor,13.73,1989
nor,40.53,1990
nor,58.41,1991
nor,19.58,1992
nor,35.71,1993
nor,15.64,1994
nor,34.46,1995
nor,23.06,1996
nor,20.83,1997
nor,17.16,1998
nor,9.71,1999
nor,17.04,2000
nor,19.10,2001
nor,8.35,2002
nor,12.16,2003
nor,12.69,2004
nor,11.83,2005
nor,11.94,2006
nor,19.96,2007
prt,17.06,1992
prt,16.40,1994
prt,13.06,1995
prt,12.37,1996
prt,16.81,1997
prt,38.40,1998
prt,13.41,1999
prt,9.82,2000
prt,14.92,2001
prt,5.32,2002
prt,2.86,2003
prt,6.09,2004
prt,16.38,2005
prt,14.30,2006
prt,12.49,2007
esp,69.76,1991
esp,48.34,1992
esp,46.79,1993
esp,32.74,1994
esp,14.08,1995
esp,25.76,1996
esp,21.28,1997
esp,21.19,1998
esp,2.82,1999
esp,3.07,2000
esp,18.95,2001
esp,23.58,2002
esp,23.73,2003
esp,24.62,2004
esp,17.77,2005
esp,24.34,2006
esp,11.45,2007
swe,4.74,1967
swe,27.75,1968
swe,71.72,1969
swe,17.08,1970
swe,10.10,1971
swe,20.64,1972
swe,2.47,1973
swe,3.29,1974
swe,4.42,1975
swe,5.55,1976
swe,8.38,1977
swe,10.33,1978
swe,4.61,1979
swe,3.00,1980
swe,8.52,1981
swe,10.20,1982
swe,9.42,1983
swe,23.57,1984
swe,33.55,1985
swe,37.01,1986
swe,21.07,1987
swe,18.34,1988
swe,40.06,1989
swe,24.03,1990
swe,16.90,1991
swe,18.89,1992
swe,20.07,1993
swe,19.08,1994
swe,17.06,1995
swe,19.87,1996
swe,23.27,1997
swe,16.61,1998
swe,17.01,1999
swe,17.85,2000
swe,18.22,2001
swe,11.81,2002
swe,18.41,2003
swe,13.80,2004
swe,10.80,2005
swe,9.74,2006
swe,11.49,2007
che,1.14,1969
che,3.88,1970
che,0.82,1972
che,4.14,1973
che,7.92,1974
che,39.33,1975
che,14.20,1976
che,9.94,1977
che,1.91,1978
che,2.77,1979
che,8.63,1980
che,16.84,1981
che,2.77,1982
che,2.48,1983
che,30.38,1984
che,16.31,1985
che,14.59,1986
che,24.73,1987
che,11.49,1988
che,15.41,1989
che,6.13,1990
che,20.63,1991
che,8.75,1992
che,7.81,1993
che,3.02,1994
che,7.10,1995
che,17.49,1996
che,13.45,1998
che,15.08,1999
che,11.20,2000
che,12.59,2001
che,16.86,2002
che,14.34,2003
che,14.61,2004
che,13.15,2005
che,12.86,2006
che,14.51,2007
gbr,26.84,1967
gbr,48.12,1968
gbr,31.01,1969
gbr,21.70,1970
gbr,14.33,1971
gbr,9.17,1972
gbr,18.76,1973
gbr,13.09,1974
gbr,5.54,1975
gbr,4.61,1976
gbr,10.14,1977
gbr,23.07,1978
gbr,25.71,1979
gbr,21.07,1980
gbr,5.19,1981
gbr,36.74,1982
gbr,30.79,1983
gbr,46.06,1984
gbr,19.64,1985
gbr,25.82,1986
gbr,29.33,1987
gbr,44.71,1988
gbr,35.80,1989
gbr,35.72,1990
gbr,42.65,1991
gbr,24.59,1992
gbr,25.19,1993
gbr,23.86,1994
gbr,25.70,1995
gbr,24.62,1996
gbr,19.42,1997
gbr,20.65,1998
gbr,20.92,1999
gbr,12.18,2000
gbr,18.46,2001
gbr,12.44,2002
gbr,14.66,2003
gbr,15.60,2004
gbr,7.69,2005
gbr,6.44,2006
gbr,22.81,2007
usa,40.25,1967
usa,31.58,1968
usa,16.59,1969
usa,17.82,1970
usa,8.73,1971
usa,10.99,1972
usa,16.68,1973
usa,5.39,1975
usa,12.20,1976
usa,24.26,1978
usa,24.83,1979
usa,6.77,1980
usa,11.59,1981
usa,9.63,1982
usa,7.53,1983
usa,8.62,1984
usa,11.51,1985
usa,10.43,1986
usa,11.66,1987
usa,7.20,1988
usa,10.96,1989
usa,14.25,1990
usa,14.21,1991
usa,14.21,1992
usa,14.21,1993
usa,29.48,1994
usa,15.96,1995
usa,15.98,1996
usa,24.39,1997
usa,13.11,1998
usa,22.79,1999
usa,20.26,2000
usa,6.05,2001
usa,8.18,2002
usa,3.92,2003
usa,25.76,2004
usa,14.49,2005
usa,19.33,2006
usa,16.77,2007
