geo,time,inflation_annual_percent
arg,1974,30.63
arg,1975,197.7
arg,1976,438.3
arg,1977,159.4
arg,1978,161.4
arg,1979,147.4
arg,1980,90.84
arg,1981,106.4
arg,1982,207.6
arg,1983,382.3
arg,1984,606.7
arg,1985,625.8
arg,1986,74.46
arg,1987,127.1
arg,1988,388.5
arg,1989,3058
arg,1990,2077
arg,1991,133
arg,1992,11.92
arg,1993,-1.467
arg,1994,2.849
arg,1995,3.165
arg,1996,-0.05242
arg,1997,-0.464
arg,1998,-1.705
arg,1999,-1.837
arg,2000,1.037
arg,2001,-1.096
arg,2002,30.56
arg,2003,10.5
arg,2004,9.221
arg,2005,8.84
arg,2006,13.43
arg,2007,14.26
arg,2008,19.07
arg,2009,9.977
arg,2010,15.38
arg,2011,17.28
arm,1991,79.39
arm,1992,568.8
arm,1993,1391
arm,1994,4107
arm,1995,161.2
arm,1996,19.59
arm,1997,17.74
arm,1998,10.7
arm,1999,0.0538
arm,2000,-1.374
arm,2001,4.069
arm,2002,2.37
arm,2003,4.561
arm,2004,6.31
arm,2005,3.24
arm,2006,4.62
arm,2007,4.233
arm,2008,5.99
arm,2009,2.557
arm,2010,9.17
arm,2011,4.221
abw,1992,5.704
abw,1993,8.65
abw,1994,8.497
abw,1995,-4.704
abw,1996,3.218
abw,1997,2.998
abw,1998,1.901
abw,1999,2.262
abw,2000,4.048
abw,2001,2.877
abw,2002,3.311
abw,2003,1.564
aus,1961,3.177
aus,1962,-0.2307
aus,1963,1.772
aus,1964,3.261
aus,1965,3.002
aus,1966,2.676
aus,1967,4.855
aus,1968,2.253
aus,1969,4.739
aus,1970,5.153
aus,1971,5.189
aus,1972,6.168
aus,1973,8.984
aus,1974,16.39
aus,1975,16.56
aus,1976,14.02
aus,1977,11.42
aus,1978,8.232
aus,1979,8.572
aus,1980,10.03
aus,1981,9.56
aus,1982,11.75
aus,1983,10.22
aus,1984,7.837
aus,1985,4.845
aus,1986,5.645
aus,1987,6.994
aus,1988,7.585
aus,1989,8.997
aus,1990,6.12
aus,1991,3.059
aus,1992,1.356
aus,1993,0.8266
aus,1994,1.046
aus,1995,2.025
aus,1996,2.225
aus,1997,1.104
aus,1998,1.139
aus,1999,0.1342
aus,2000,2.522
aus,2001,4.628
aus,2002,3.046
aus,2003,2.602
aus,2004,3.293
aus,2005,3.993
aus,2006,4.863
aus,2007,5.255
aus,2008,4.612
aus,2009,4.35
aus,2010,0.09396
aus,2011,6.329
aut,1961,5.087
aut,1962,3.34
aut,1963,3.678
aut,1964,3.184
aut,1965,5.321
aut,1966,3.122
aut,1967,3.248
aut,1968,2.838
aut,1969,2.734
aut,1970,6.326
aut,1971,6.204
aut,1972,7.6
aut,1973,8.046
aut,1974,9.502
aut,1975,6.458
aut,1976,5.625
aut,1977,5.216
aut,1978,5.899
aut,1979,4.106
aut,1980,5.522
aut,1981,6.683
aut,1982,5.337
aut,1983,3.458
aut,1984,4.95
aut,1985,2.988
aut,1986,2.969
aut,1987,2.414
aut,1988,1.527
aut,1989,2.965
aut,1990,3
aut,1991,3.642
aut,1992,3.479
aut,1993,2.757
aut,1994,2.525
aut,1995,1.814
aut,1996,0.812
aut,1997,-0.2209
aut,1998,0.3203
aut,1999,0.2834
aut,2000,0.9192
aut,2001,1.874
aut,2002,1.24
aut,2003,1.15
aut,2004,1.683
aut,2005,2.039
aut,2006,1.884
aut,2007,2.005
aut,2008,1.764
aut,2009,1.046
aut,2010,1.785
aut,2011,2.107
aze,1991,83.55
aze,1992,1065
aze,1993,747.6
aze,1994,1385
aze,1995,545.7
aze,1996,26.42
aze,1997,9.24
aze,1998,-0.9639
aze,1999,2.161
aze,2000,12.49
aze,2001,2.515
aze,2002,3.119
aze,2003,6.009
aze,2004,8.315
aze,2005,16.14
aze,2006,11.3
aze,2007,20.98
aze,2008,27.73
aze,2009,-18.85
aze,2010,13.6
aze,2011,16.74
bhs,1961,1.161
bhs,1962,1.09
bhs,1963,1.344
bhs,1964,1.505
bhs,1965,2.012
bhs,1966,3.771
bhs,1967,4.713
bhs,1968,5.163
bhs,1969,8.925
bhs,1970,6.145
bhs,1971,4.583
bhs,1972,6.787
bhs,1973,5.551
bhs,1974,13.23
bhs,1975,10.66
bhs,1976,2.39
bhs,1977,1.729
bhs,1978,2.248
bhs,1979,8.554
bhs,1980,10.01
bhs,1981,17.69
bhs,1982,3.695
bhs,1983,5.977
bhs,1984,3.171
bhs,1985,8.461
bhs,1986,4.66
bhs,1987,6.586
bhs,1988,1.484
bhs,1989,1.813
bhs,1990,5.074
bhs,1991,2.557
bhs,1992,3.906
bhs,1993,-0.852
bhs,1994,2.183
bhs,1995,0.8024
bhs,1996,0.9842
bhs,1997,34.69
bhs,1998,3.049
bhs,1999,4.951
bhs,2000,0.9218
bhs,2001,0.3536
bhs,2002,3.961
bhs,2003,1.155
bhs,2004,1.194
bhs,2005,5.057
bhs,2006,0.828
bhs,2007,2.948
bhs,2008,1.489
bhs,2009,-1.641
bhs,2010,0.5224
bhs,2011,-1.397
bhr,1981,18.91
bhr,1982,13.72
bhr,1983,-3.69
bhr,1984,-0.4185
bhr,1985,-1.825
bhr,1986,-17.39
bhr,1987,0.6591
bhr,1988,2.009
bhr,1989,3.975
bhr,1990,4.827
bhr,1991,-1.883
bhr,1992,-3.533
bhr,1993,-3.026
bhr,1994,7.331
bhr,1995,1.091
bhr,1996,0.1967
bhr,1997,0.9317
bhr,1998,-7.057
bhr,1999,2.656
bhr,2000,14.32
bhr,2001,-4.899
bhr,2002,1.74
bhr,2003,7.086
bhr,2004,9.153
bhr,2005,11.13
bhr,2006,10.39
bhr,2007,7.544
bhr,2008,11.54
bhr,2009,-14.45
bhr,2010,13.66
bgd,1961,6.257
bgd,1962,0.02222
bgd,1963,5.164
bgd,1964,-8.743
bgd,1965,7.932
bgd,1966,6.296
bgd,1967,14.79
bgd,1968,-5.77
bgd,1969,11.83
bgd,1970,0.5103
bgd,1971,2.963
bgd,1972,4.402
bgd,1973,61.41
bgd,1974,44.54
bgd,1975,80.57
bgd,1976,-17.63
bgd,1977,-3.21
bgd,1978,25.62
bgd,1979,12.56
bgd,1980,17.56
bgd,1981,10.53
bgd,1982,9.687
bgd,1983,8.515
bgd,1984,14.05
bgd,1985,11.15
bgd,1986,8.001
bgd,1987,10.88
bgd,1988,7.601
bgd,1989,8.5
bgd,1990,6.336
bgd,1991,6.596
bgd,1992,2.976
bgd,1993,0.287
bgd,1994,3.772
bgd,1995,7.345
bgd,1996,4.235
bgd,1997,3.09
bgd,1998,5.274
bgd,1999,4.656
bgd,2000,1.86
bgd,2001,1.585
bgd,2002,3.195
bgd,2003,4.528
bgd,2004,4.24
bgd,2005,5.075
bgd,2006,5.172
bgd,2007,6.786
bgd,2008,8.789
bgd,2009,6.521
bgd,2010,6.474
bgd,2011,6.335
brb,1961,-0.948
brb,1962,-4.636
brb,1963,18.53
brb,1964,-5.377
brb,1965,-5.045
brb,1966,3.633
brb,1967,1.647
brb,1968,7.773
brb,1969,4.591
brb,1970,7.344
brb,1971,6.812
brb,1972,9.893
brb,1973,22.77
brb,1974,31.42
brb,1975,11.73
brb,1976,7.597
brb,1977,8.992
brb,1978,5.45
brb,1979,12.61
brb,1980,22.56
brb,1981,13.7
brb,1982,9.994
brb,1983,5.98
brb,1984,5.448
brb,1985,4.121
brb,1986,0.3344
brb,1987,9.005
brb,1988,0.1096
brb,1989,5.275
brb,1990,5.451
brb,1991,1.598
brb,1992,-1.472
brb,1993,2.886
brb,1994,1.2
brb,1995,6.075
brb,1996,4.735
brb,1997,3.918
brb,1998,3.593
brb,1999,1.754
brb,2000,0.7526
brb,2001,5.131
brb,2002,0.5064
brb,2003,6.693
brb,2004,1.066
brb,2005,3.127
brb,2006,2.676
brb,2007,6.333
brb,2008,7.463
brb,2009,3.439
blr,1991,103.6
blr,1992,1074
blr,1993,1053
blr,1994,1945
blr,1995,661.5
blr,1996,53.72
blr,1997,71.65
blr,1998,76.58
blr,1999,316.8
blr,2000,185.3
blr,2001,79.53
blr,2002,44.89
blr,2003,30.69
blr,2004,22.68
blr,2005,18.93
blr,2006,10.75
blr,2007,12.82
blr,2008,21.16
blr,2009,5.722
blr,2010,11.11
blr,2011,58.37
bel,1961,1.315
bel,1962,1.668
bel,1963,3.026
bel,1964,4.642
bel,1965,5.101
bel,1966,4.086
bel,1967,3.193
bel,1968,2.62
bel,1969,4.024
bel,1970,5.193
bel,1971,5.358
bel,1972,6.318
bel,1973,6.807
bel,1974,12.17
bel,1975,12.89
bel,1976,7.575
bel,1977,7.478
bel,1978,4.423
bel,1979,4.505
bel,1980,4.127
bel,1981,5.139
bel,1982,7.57
bel,1983,5.613
bel,1984,5.439
bel,1985,4.628
bel,1986,2.797
bel,1987,1.684
bel,1988,2.169
bel,1989,4.797
bel,1990,2.812
bel,1991,2.877
bel,1992,3.425
bel,1993,3.993
bel,1994,2.094
bel,1995,1.221
bel,1996,0.3724
bel,1997,0.8713
bel,1998,1.87
bel,1999,0.3142
bel,2000,1.979
bel,2001,2.051
bel,2002,2.007
bel,2003,1.983
bel,2004,2.142
bel,2005,2.369
bel,2006,2.293
bel,2007,2.339
bel,2008,2.157
bel,2009,1.219
bel,2010,1.801
bel,2011,1.883
blz,1961,1.763
blz,1962,1.357
blz,1963,0.9377
blz,1964,2.136
blz,1965,5.611
blz,1966,5.774
blz,1967,3.122
blz,1968,1.679
blz,1969,0.2159
blz,1970,7.37
blz,1971,5.064
blz,1972,-1.235
blz,1973,14.68
blz,1974,21.71
blz,1975,16.88
blz,1976,1.157
blz,1977,2.242
blz,1978,7.349
blz,1979,3.585
blz,1980,11.4
blz,1981,-2.212
blz,1982,-6.812
blz,1983,7.708
blz,1984,9.444
blz,1985,-1.877
blz,1986,4.176
blz,1987,9.134
blz,1988,4.238
blz,1989,1.973
blz,1990,2.813
blz,1991,-2.561
blz,1992,3.993
blz,1993,1.652
blz,1994,3.588
blz,1995,6.079
blz,1996,1.969
blz,1997,-1.477
blz,1998,1.503
blz,1999,-2.235
blz,2000,0.4759
blz,2001,-0.1694
blz,2002,1.788
blz,2003,-3.081
blz,2004,2.171
blz,2005,2.443
blz,2006,3.973
blz,2007,3.855
blz,2008,3.191
blz,2009,-1.063
blz,2010,0.9278
blz,2011,3.148
ben,1961,1.041
ben,1962,3.781
ben,1963,2.549
ben,1964,-0.3637
ben,1965,2.058
ben,1966,1.137
ben,1967,0.1411
ben,1968,3.274
ben,1969,3.454
ben,1970,5.047
ben,1971,1.573
ben,1972,5.317
ben,1973,4.823
ben,1974,14.92
ben,1975,14.25
ben,1976,14.04
ben,1977,5.177
ben,1978,12.33
ben,1979,13
ben,1980,10.19
ben,1981,7.469
ben,1982,16.15
ben,1983,4.746
ben,1984,1.954
ben,1985,-4.877
ben,1986,-3.604
ben,1987,3.028
ben,1988,-0.6105
ben,1989,2.225
ben,1990,1.554
ben,1991,0.7024
ben,1992,3.362
ben,1993,1.162
ben,1994,33.5
ben,1995,15.37
ben,1996,6.707
ben,1997,4.991
ben,1998,4.657
ben,1999,1.937
ben,2000,3.231
ben,2001,3.141
ben,2002,7.697
ben,2003,1.716
ben,2004,0.2906
ben,2005,2.786
ben,2006,5.164
ben,2007,2.642
ben,2008,7.121
ben,2009,0.09919
ben,2010,1.421
ben,2011,2.786
bmu,1961,0.939
bmu,1962,0.9765
bmu,1963,1.271
bmu,1964,0.4611
bmu,1965,1.461
bmu,1966,2.609
bmu,1967,3.48
bmu,1968,8.982
bmu,1969,6.281
bmu,1970,6.27
bmu,1971,9.546
bmu,1972,9.526
bmu,1973,12.81
bmu,1974,14.98
bmu,1975,6.357
bmu,1976,2.784
bmu,1977,9.269
bmu,1978,4.919
bmu,1979,6.415
bmu,1980,9.854
bmu,1981,17.71
bmu,1982,12.21
bmu,1983,11
bmu,1984,10.3
bmu,1985,7.614
bmu,1986,5.835
bmu,1987,6.488
bmu,1988,4.893
bmu,1989,5.637
bmu,1990,6.034
bmu,1991,6.431
bmu,1992,2.814
bmu,1993,5.196
bmu,1994,1.96
bmu,1995,4.178
bmu,1996,29.36
bmu,1997,4.024
bmu,1998,2.742
bmu,1999,2.712
bmu,2000,-4.236
bmu,2001,-0.7191
bmu,2002,8.626
bmu,2003,2.761
bmu,2004,4.413
bmu,2005,6.446
bmu,2006,5.299
bmu,2007,5.779
bmu,2008,2.686
bmu,2009,-0.1493
bmu,2010,1.203
btn,1982,6.189
btn,1983,7.328
btn,1984,8.239
btn,1985,8.015
btn,1986,6.742
btn,1987,3.543
btn,1988,6.891
btn,1989,9.618
btn,1990,6.418
btn,1991,7.203
btn,1992,9.253
btn,1993,8.707
btn,1994,10.75
btn,1995,10.29
btn,1996,8.082
btn,1997,10.77
btn,1998,11.67
btn,1999,8.908
btn,2000,4.683
btn,2001,4.542
btn,2002,5.286
btn,2003,6.301
btn,2004,1.812
btn,2005,6.119
btn,2006,5.411
btn,2007,3.11
btn,2008,5.693
btn,2009,4.845
btn,2010,5.389
btn,2011,4.88
bol,1961,6.558
bol,1962,3.57
bol,1963,1.181
bol,1964,7.519
bol,1965,5.017
bol,1966,2.698
bol,1967,2.008
bol,1968,-4.544
bol,1969,2.946
bol,1970,5.973
bol,1971,2.506
bol,1972,19
bol,1973,42.95
bol,1974,61.54
bol,1975,6.695
bol,1976,8.603
bol,1977,12.54
bol,1978,14.1
bol,1979,19.8
bol,1980,25.05
bol,1981,29.49
bol,1982,158.3
bol,1983,265.2
bol,1984,1443
bol,1985,12340
bol,1986,230
bol,1987,13.97
bol,1988,18.18
bol,1989,13.19
bol,1990,16.27
bol,1991,17.69
bol,1992,13.2
bol,1993,6.557
bol,1994,7.952
bol,1995,11.43
bol,1996,11.58
bol,1997,5.705
bol,1998,7.051
bol,1999,2.412
bol,2000,5.195
bol,2001,1.87
bol,2002,2.821
bol,2003,6.33
bol,2004,7.968
bol,2005,5.941
bol,2006,13.66
bol,2007,7.373
bol,2008,10.38
bol,2009,-2.42
bol,2010,8.778
bol,2011,16.95
bih,1995,8.847
bih,1996,-17.06
bih,1997,13.01
bih,1998,-1.582
bih,1999,8.356
bih,2000,28.79
bih,2001,2.962
bih,2002,4.462
bih,2003,0.9124
bih,2004,2.572
bih,2005,3.878
bih,2006,5.728
bih,2007,5.718
bih,2008,7.557
bih,2009,0.05195
bih,2010,1.405
bih,2011,1.778
bwa,1961,1.934
bwa,1962,1.361
bwa,1963,1.177
bwa,1964,2.548
bwa,1965,3.846
bwa,1966,5.789
bwa,1967,7.582
bwa,1968,2.166
bwa,1969,1.584
bwa,1970,5.979
bwa,1971,4.664
bwa,1972,10.78
bwa,1973,9.907
bwa,1974,12.8
bwa,1975,16.47
bwa,1976,11.32
bwa,1977,4.937
bwa,1978,12.47
bwa,1979,21.86
bwa,1980,10.19
bwa,1981,-0.08832
bwa,1982,3.695
bwa,1983,8.745
bwa,1984,15.43
bwa,1985,22.89
bwa,1986,14.06
bwa,1987,12.69
bwa,1988,22.7
bwa,1989,13.65
bwa,1990,6.3
bwa,1991,5.178
bwa,1992,6.639
bwa,1993,13.07
bwa,1994,11.54
bwa,1995,8.78
bwa,1996,14.23
bwa,1997,7.582
bwa,1998,4.9
bwa,1999,17.71
bwa,2000,0.03804
bwa,2001,18.45
bwa,2002,0.3293
bwa,2003,-2.283
bwa,2004,11.16
bwa,2005,9.342
bwa,2006,19.23
bwa,2007,10.37
bwa,2008,17.32
bwa,2009,-5.495
bwa,2010,14.62
bwa,2011,13.32
bra,1961,31.3
bra,1962,78.83
bra,1963,69.77
bra,1964,93.83
bra,1965,51.38
bra,1966,39.41
bra,1967,29.24
bra,1968,26.67
bra,1969,20.91
bra,1970,17.09
bra,1971,20.25
bra,1972,19.14
bra,1973,22.66
bra,1974,34.8
bra,1975,33.86
bra,1976,47.63
bra,1977,46.18
bra,1978,41.06
bra,1979,56.48
bra,1980,87.31
bra,1981,107.2
bra,1982,104.8
bra,1983,140.2
bra,1984,212.8
bra,1985,231.7
bra,1986,145.3
bra,1987,204.1
bra,1988,651.1
bra,1989,1209
bra,1990,2735
bra,1991,414.2
bra,1992,968.2
bra,1993,2001
bra,1994,2252
bra,1995,93.52
bra,1996,17.09
bra,1997,7.645
bra,1998,4.233
bra,1999,8.482
bra,2000,6.175
bra,2001,8.971
bra,2002,10.55
bra,2003,13.72
bra,2004,8.038
bra,2005,7.21
bra,2006,6.152
bra,2007,5.868
bra,2008,8.333
bra,2009,7.185
bra,2010,8.229
bra,2011,6.969
brn,1975,5.519
brn,1976,5.627
brn,1977,8.381
brn,1978,-2.171
brn,1979,12.67
brn,1980,86.11
brn,1981,9.022
brn,1982,-4.838
brn,1983,-11.42
brn,1984,-1.274
brn,1985,-2.465
brn,1986,-31.9
brn,1987,10.73
brn,1988,-7.669
brn,1989,8.698
brn,1990,8.41
brn,1991,-2.837
brn,1992,1.727
brn,1993,-2.951
brn,1994,-8.764
brn,1995,2.873
brn,1996,4.489
brn,1997,8.585
brn,1998,-11.65
brn,1999,11.59
brn,2000,29.02
brn,2001,-5.592
brn,2002,0.3742
brn,2003,6.105
brn,2004,15.89
brn,2005,18.77
brn,2006,10.05
brn,2007,1.12
brn,2008,12.69
brn,2009,-22.09
brn,2010,5.308
bgr,1981,2.821
bgr,1982,1.916
bgr,1983,-0.6453
bgr,1984,2.737
bgr,1985,0.2292
bgr,1986,1.345
bgr,1987,0.06383
bgr,1988,-5.39
bgr,1989,6.73
bgr,1990,26.19
bgr,1991,226.5
bgr,1992,59.58
bgr,1993,51.09
bgr,1994,72.7
bgr,1995,62.38
bgr,1996,98.03
bgr,1997,987.1
bgr,1998,29.67
bgr,1999,3.695
bgr,2000,6.604
bgr,2001,6.178
bgr,2002,4.67
bgr,2003,2.273
bgr,2004,4.173
bgr,2005,7.385
bgr,2006,6.839
bgr,2007,9.234
bgr,2008,8.416
bgr,2009,4.334
bgr,2010,2.794
bgr,2011,4.958
bfa,1961,1.901
bfa,1962,2.01
bfa,1963,5.148
bfa,1964,1.812
bfa,1965,-0.6561
bfa,1966,2.303
bfa,1967,-4.411
bfa,1968,-0.2639
bfa,1969,6.913
bfa,1970,1.783
bfa,1971,3.377
bfa,1972,7.297
bfa,1973,2.678
bfa,1974,11.01
bfa,1975,8.176
bfa,1976,6.726
bfa,1977,18.66
bfa,1978,14.53
bfa,1979,7.754
bfa,1980,8.694
bfa,1981,13.58
bfa,1982,9.047
bfa,1983,5.409
bfa,1984,6.501
bfa,1985,0.7571
bfa,1986,-6.346
bfa,1987,1.237
bfa,1988,3.409
bfa,1989,4.832
bfa,1990,1.81
bfa,1991,-3.968
bfa,1992,0.2271
bfa,1993,-1.442
bfa,1994,14.64
bfa,1995,6.77
bfa,1996,0.3487
bfa,1997,1.556
bfa,1998,7.94
bfa,1999,4.436
bfa,2000,-1.665
bfa,2001,4.004
bfa,2002,6.208
bfa,2003,0.1878
bfa,2004,3.928
bfa,2005,-1.743
bfa,2006,-0.6596
bfa,2007,2.259
bfa,2008,9.162
bfa,2009,2.376
bfa,2010,2.781
bfa,2011,5.58
bdi,1961,20.08
bdi,1962,-3.567
bdi,1963,4.687
bdi,1964,5.417
bdi,1965,-1.029
bdi,1966,3.152
bdi,1967,-5.318
bdi,1968,3.057
bdi,1969,5.362
bdi,1970,5.185
bdi,1971,1.38
bdi,1972,4.291
bdi,1973,5.51
bdi,1974,12.46
bdi,1975,21.09
bdi,1976,8.075
bdi,1977,14.3
bdi,1978,12.51
bdi,1979,26.13
bdi,1980,16.38
bdi,1981,-6.063
bdi,1982,5.672
bdi,1983,6.429
bdi,1984,17.22
bdi,1985,5.069
bdi,1986,-4.257
bdi,1987,-3.418
bdi,1988,3.491
bdi,1989,14.76
bdi,1990,5.986
bdi,1991,4.093
bdi,1992,5.402
bdi,1993,7.743
bdi,1994,6.638
bdi,1995,16.1
bdi,1996,14.45
bdi,1997,32.4
bdi,1998,11.45
bdi,1999,14.95
bdi,2000,33.33
bdi,2001,11.13
bdi,2002,1.805
bdi,2003,14.6
bdi,2004,14.86
bdi,2005,21.03
bdi,2006,-0.07522
bdi,2007,7.046
bdi,2008,28.16
bdi,2009,12.3
bdi,2010,7.638
bdi,2011,12.85
khm,1994,-4.414
khm,1995,11.52
khm,1996,3.507
khm,1997,4.386
khm,1998,10.01
khm,1999,1.981
khm,2000,-3.204
khm,2001,2.643
khm,2002,0.7161
khm,2003,1.798
khm,2004,4.824
khm,2005,6.077
khm,2006,4.63
khm,2007,6.519
khm,2008,12.25
khm,2009,2.504
khm,2010,3.121
khm,2011,3.867
cmr,1961,5.064
cmr,1962,3.11
cmr,1963,-0.2641
cmr,1964,4.421
cmr,1965,2.752
cmr,1966,0.1884
cmr,1967,23.63
cmr,1968,5.751
cmr,1969,5.302
cmr,1970,7.884
cmr,1971,3.44
cmr,1972,7.976
cmr,1973,6.53
cmr,1974,10.66
cmr,1975,5.99
cmr,1976,19.67
cmr,1977,5.885
cmr,1978,3.41
cmr,1979,12.85
cmr,1980,14.25
cmr,1981,8.8
cmr,1982,12.48
cmr,1983,12.76
cmr,1984,13.55
cmr,1985,11.19
cmr,1986,0.1792
cmr,1987,-2.392
cmr,1988,0.8139
cmr,1989,-1.819
cmr,1990,1.643
cmr,1991,3.569
cmr,1992,-1.278
cmr,1993,16.1
cmr,1994,14.38
cmr,1995,9.484
cmr,1996,2.692
cmr,1997,3.738
cmr,1998,3.662
cmr,1999,1.949
cmr,2000,2.84
cmr,2001,2.179
cmr,2002,3.248
cmr,2003,0.3581
cmr,2004,1.508
cmr,2005,2.631
cmr,2006,3.941
cmr,2007,2.03
cmr,2008,4.198
cmr,2009,-3.39
cmr,2010,3.005
cmr,2011,3.971
can,1961,0.4581
can,1962,1.414
can,1963,2.061
can,1964,2.599
can,1965,3.36
can,1966,4.981
can,1967,4.402
can,1968,3.636
can,1969,4.506
can,1970,4.818
can,1971,4.832
can,1972,5.9
can,1973,9.687
can,1974,15.2
can,1975,10.7
can,1976,9.497
can,1977,6.797
can,1978,6.603
can,1979,9.986
can,1980,10.07
can,1981,10.78
can,1982,8.48
can,1983,5.434
can,1984,3.28
can,1985,3.108
can,1986,3.029
can,1987,4.605
can,1988,4.489
can,1989,4.542
can,1990,3.175
can,1991,2.955
can,1992,1.318
can,1993,1.44
can,1994,1.149
can,1995,2.259
can,1996,1.617
can,1997,1.204
can,1998,-0.4276
can,1999,1.745
can,2000,4.132
can,2001,1.119
can,2002,1.092
can,2003,3.285
can,2004,3.188
can,2005,3.306
can,2006,2.674
can,2007,3.189
can,2008,4.11
can,2009,-1.926
can,2010,2.944
can,2011,3.251
cpv,1981,9.578
cpv,1982,17.39
cpv,1983,10.56
cpv,1984,8.767
cpv,1985,3.667
cpv,1986,17.69
cpv,1987,6.962
cpv,1988,5.412
cpv,1989,3.585
cpv,1990,2.345
cpv,1991,4.792
cpv,1992,3.229
cpv,1993,51.3
cpv,1994,-21.06
cpv,1995,4.608
cpv,1996,3.791
cpv,1997,2.37
cpv,1998,3.437
cpv,1999,6.999
cpv,2000,-1.876
cpv,2001,1.286
cpv,2002,-0.3931
cpv,2003,4.413
cpv,2004,-1.018
cpv,2005,-1.434
cpv,2006,2.59
cpv,2007,1.365
cpv,2008,3.218
cpv,2009,4.216
cpv,2010,3.322
cpv,2011,3.931
cym,1994,3.098
caf,1961,4.635
caf,1962,4.889
caf,1963,4.675
caf,1964,7.542
caf,1965,5.039
caf,1966,4.475
caf,1967,-0.7743
caf,1968,16.17
caf,1969,-3.853
caf,1970,4.491
caf,1971,4.938
caf,1972,4.644
caf,1973,2.2
caf,1974,5.381
caf,1975,19.33
caf,1976,26
caf,1977,11.37
caf,1978,9.228
caf,1979,10.93
caf,1980,18.27
caf,1981,13.87
caf,1982,20.91
caf,1983,11.1
