geo,time,debt_to_foreigners_by_public_and_private_percent_of_gni
blz,2008,87.18
blz,2009,86.64
blz,2010,80.26
ben,1970,13.11
ben,1971,15.48
ben,1972,11.6
ben,1973,17.92
ben,1974,19.52
ben,1975,17.65
ben,1976,20.22
ben,1977,28.32
ben,1978,30.55
ben,1979,38.22
ben,1980,33.87
ben,1981,42.18
ben,1982,60.1
ben,1983,73.79
ben,1984,74.65
ben,1985,88.14
ben,1986,79.28
ben,1987,81.14
ben,1988,73.35
ben,1989,73.1
ben,1990,62
ben,1991,62.73
ben,1992,75.95
ben,1993,61.49
ben,1994,94.55
ben,1995,71.07
ben,1996,63.72
ben,1997,66.36
ben,1998,61.78
ben,1999,62.21
ben,2000,61.88
ben,2001,62.02
ben,2002,57.38
ben,2003,41.87
ben,2004,39.89
ben,2005,36.11
ben,2006,13.86
ben,2007,14.08
ben,2008,13.74
ben,2009,16.24
ben,2010,18.41
btn,1981,0.2804
btn,1982,0.9458
btn,1983,1.369
btn,1984,1.997
btn,1985,6.272
btn,1986,12.2
btn,1987,18.41
btn,1988,27.25
btn,1989,25.43
btn,1990,28.06
btn,1991,34.53
btn,1992,37.32
btn,1993,40.86
btn,1994,37.87
btn,1995,36.28
btn,1996,35.75
btn,1997,32.09
btn,1998,47.82
btn,1999,49.03
btn,2000,48.67
btn,2001,58.24
btn,2002,75.08
btn,2003,82.36
btn,2004,86.46
btn,2005,80.48
btn,2006,79.26
btn,2007,66.59
btn,2008,55.67
btn,2009,61.15
btn,2010,63.27
bol,1970,55.64
bol,1971,56.39
bol,1972,58.12
bol,1973,60.51
bol,1974,40.4
bol,1975,40.3
bol,1976,45.13
bol,1977,51.81
bol,1978,55.69
bol,1979,56.53
bol,1980,59.5
bol,1981,51.1
bol,1982,63.85
bol,1983,77.56
bol,1984,75.21
bol,1985,97.1
bol,1986,152.8
bol,1987,143.6
bol,1988,113.1
bol,1989,92.51
bol,1990,92.4
bol,1991,79.62
bol,1992,77.65
bol,1993,77.88
bol,1994,84.17
bol,1995,81.19
bol,1996,71.8
bol,1997,67.73
bol,1998,67.35
bol,1999,68.59
bol,2000,70.79
bol,2001,59.17
bol,2002,65
bol,2003,74.56
bol,2004,74.17
bol,2005,75.31
bol,2006,52.45
bol,2007,39.52
bol,2008,34.25
bol,2009,34.46
bol,2010,27.83
bih,1999,43.9
bih,2000,45.49
bih,2001,42.28
bih,2002,43.86
bih,2003,50.08
bih,2004,53.2
bih,2005,55.47
bih,2006,56.95
bih,2007,56.12
bih,2008,43.4
bih,2009,54.59
bih,2010,48.84
bwa,1970,17.23
bwa,1971,25.45
bwa,1972,45.23
bwa,1973,47.01
bwa,1974,43.29
bwa,1975,37.45
bwa,1976,43.86
bwa,1977,39.86
bwa,1978,21.61
bwa,1979,15.8
bwa,1980,13.19
bwa,1981,14.12
bwa,1982,19.47
bwa,1983,20.28
bwa,1984,23.35
bwa,1985,35.16
bwa,1986,32.21
bwa,1987,31.56
bwa,1988,22.98
bwa,1989,19.33
bwa,1990,15
bwa,1991,15.3
bwa,1992,14.24
bwa,1993,14.91
bwa,1994,17.02
bwa,1995,15.13
bwa,1996,13.78
bwa,1997,11.42
bwa,1998,10.02
bwa,1999,8.996
bwa,2000,8.575
bwa,2001,6.782
bwa,2002,9.06
bwa,2003,6.971
bwa,2004,5.611
bwa,2005,4.751
bwa,2006,3.646
bwa,2007,3.549
bwa,2008,3.378
bwa,2009,14.05
bwa,2010,11.57
bra,1970,13.74
bra,1971,15.29
bra,1972,19.83
bra,1973,18.72
bra,1974,21.13
bra,1975,22.4
bra,1976,22.17
bra,1977,24.27
bra,1978,27.83
bra,1979,28.01
bra,1980,31.47
bra,1981,32.24
bra,1982,35.15
bra,1983,51.46
bra,1984,52.68
bra,1985,49.09
bra,1986,42.56
bra,1987,42.35
bra,1988,37.02
bra,1989,25.5
bra,1990,26.63
bra,1991,30.34
bra,1992,33.67
bra,1993,33.69
bra,1994,28.37
bra,1995,21.17
bra,1996,21.91
bra,1997,23.21
bra,1998,29.25
bra,1999,42.97
bra,2000,38.54
bra,2001,42.87
bra,2002,47.49
bra,2003,43.96
bra,2004,34.14
bra,2005,21.88
bra,2006,18.22
bra,2007,17.76
bra,2008,16.25
bra,2009,17.72
bra,2010,16.93
bgr,1981,3.892
bgr,1982,6.684
bgr,1983,10.3
bgr,1984,14.87
bgr,1985,22.01
bgr,1986,29.14
bgr,1987,29.4
bgr,1988,39.62
bgr,1989,48
bgr,1990,57.07
bgr,1991,119.4
bgr,1992,116
bgr,1993,114.5
bgr,1994,103.3
bgr,1995,82.13
bgr,1996,122.1
bgr,1997,114.5
bgr,1998,89.26
bgr,1999,84.48
bgr,2000,89.13
bgr,2001,75.55
bgr,2002,70.32
bgr,2003,63.54
bgr,2004,61.22
bgr,2005,54.18
bgr,2006,64.87
bgr,2007,84.8
bgr,2008,98.67
bgr,2009,114.1
bgr,2010,104.8
bfa,1970,4.556
bfa,1971,4.929
bfa,1972,3.47
bfa,1973,4.602
bfa,1974,6.318
bfa,1975,6.739
bfa,1976,8.823
bfa,1977,14.79
bfa,1978,17.94
bfa,1979,16.96
bfa,1980,17.17
bfa,1981,18.58
bfa,1982,20.17
bfa,1983,25.01
bfa,1984,28.18
bfa,1985,33.15
bfa,1986,31.49
bfa,1987,35.04
bfa,1988,32.47
bfa,1989,27.54
bfa,1990,26.89
bfa,1991,30.86
bfa,1992,46.42
bfa,1993,48.08
bfa,1994,60.14
bfa,1995,53.62
bfa,1996,50.06
bfa,1997,53.21
bfa,1998,52.05
bfa,1999,52.61
bfa,2000,54.57
bfa,2001,53.19
bfa,2002,46.86
bfa,2003,40.51
bfa,2004,39
bfa,2005,36.86
bfa,2006,19.5
bfa,2007,21.47
bfa,2008,21.05
bfa,2009,22.72
bfa,2010,23.31
bdi,1970,6.363
bdi,1971,5.591
bdi,1972,2.929
bdi,1973,2.629
bdi,1974,2.807
bdi,1975,4.7
bdi,1976,5.116
bdi,1977,8.791
bdi,1978,12.54
bdi,1979,17.63
bdi,1980,17.98
bdi,1981,18.49
bdi,1982,22.62
bdi,1983,28.66
bdi,1984,35.73
bdi,1985,40.22
bdi,1986,48.3
bdi,1987,69.77
bdi,1988,75.57
bdi,1989,81.08
bdi,1990,81.18
bdi,1991,83.33
bdi,1992,96
bdi,1993,114.7
bdi,1994,123.4
bdi,1995,117.6
bdi,1996,132.2
bdi,1997,111.3
bdi,1998,126.7
bdi,1999,142.4
bdi,2000,153.2
bdi,2001,165.6
bdi,2002,197.5
bdi,2003,230.1
bdi,2004,215.1
bdi,2005,170.3
bdi,2006,155.1
bdi,2007,149.5
bdi,2008,123.5
bdi,2009,38.51
bdi,2010,33.8
khm,1987,5.097
khm,1988,3.023
khm,1989,156.1
khm,1990,165.5
khm,1991,113.4
khm,1992,92.45
khm,1995,67.55
khm,1996,68.79
khm,1997,70.01
khm,1998,80.38
khm,1999,73.58
khm,2000,74.36
khm,2001,70.17
khm,2002,70.8
khm,2003,71.26
khm,2004,67.12
khm,2005,58.53
khm,2006,50.61
khm,2007,45.52
khm,2008,42.87
khm,2009,43.81
khm,2010,43.38
cmr,1970,14.24
cmr,1971,16.13
cmr,1972,16.85
cmr,1973,17.6
cmr,1974,16.5
cmr,1975,18.03
cmr,1976,22.47
cmr,1977,42.71
cmr,1978,37.92
cmr,1979,39.67
cmr,1980,45.8
cmr,1981,38.51
cmr,1982,40.77
cmr,1983,41.66
cmr,1984,38.46
cmr,1985,40.05
cmr,1986,39.46
cmr,1987,37.79
cmr,1988,38.66
cmr,1989,49.12
cmr,1990,61.48
cmr,1991,58.07
cmr,1992,69.94
cmr,1993,59.95
cmr,1994,106.8
cmr,1995,133.4
cmr,1996,120.8
cmr,1997,115.5
cmr,1998,121.3
cmr,1999,105.4
cmr,2000,109.1
cmr,2001,103.7
cmr,2002,96.54
cmr,2003,83.15
cmr,2004,66.99
cmr,2005,45.1
cmr,2006,18.32
cmr,2007,14.58
cmr,2008,11.77
cmr,2009,13.35
cmr,2010,13.46
cpv,1986,54.04
cpv,1987,50.35
cpv,1988,42.67
cpv,1989,42.43
cpv,1990,39.29
cpv,1991,38.17
cpv,1992,35.96
cpv,1993,41.05
cpv,1994,43.19
cpv,1995,44.12
cpv,1996,40.91
cpv,1997,41.44
cpv,1998,46.21
cpv,1999,56.98
cpv,2000,61.33
cpv,2001,63.49
cpv,2002,64.02
cpv,2003,56.4
cpv,2004,51.07
cpv,2005,49.35
cpv,2006,49.23
cpv,2007,44.59
cpv,2008,41.58
cpv,2009,45.79
cpv,2010,54.3
caf,1970,12.95
caf,1971,14.38
caf,1972,16.16
caf,1973,20.95
caf,1974,24.58
caf,1975,21.01
caf,1976,21
caf,1977,26.05
caf,1978,23.27
caf,1979,22.7
caf,1980,24.34
caf,1981,33.45
caf,1982,34.2
caf,1983,39.8
caf,1984,41.97
caf,1985,40.06
caf,1986,41.69
caf,1987,52.02
caf,1988,53.28
caf,1989,55.79
caf,1990,47.68
caf,1991,57.21
caf,1992,57.39
caf,1993,68.36
caf,1994,106.7
caf,1995,85.93
caf,1996,88.92
caf,1997,89.41
caf,1998,89.34
caf,1999,87.37
caf,2000,90.83
caf,2001,85.83
caf,2002,103.8
caf,2003,92.54
caf,2004,85.08
caf,2005,75.64
caf,2006,68.54
caf,2007,56.94
caf,2008,48.66
caf,2009,19.96
caf,2010,19.15
tcd,1970,7.485
tcd,1971,9.372
tcd,1972,6.211
tcd,1973,7.366
tcd,1974,11.58
tcd,1975,16.4
tcd,1976,17.83
tcd,1977,21.95
tcd,1978,25.09
tcd,1979,30.78
tcd,1980,27.38
tcd,1981,29.31
tcd,1982,26.13
tcd,1983,26.05
tcd,1984,21.06
tcd,1985,20.9
tcd,1986,24.69
tcd,1987,30
tcd,1988,26.77
tcd,1989,27.99
tcd,1990,29.88
tcd,1991,32.89
tcd,1992,34.05
tcd,1993,47.69
tcd,1994,68.06
tcd,1995,58.43
tcd,1996,59.27
tcd,1997,62.62
tcd,1998,59.06
tcd,1999,71.41
tcd,2000,79.58
tcd,2001,64.37
tcd,2002,65.64
tcd,2003,67.01
tcd,2004,44.07
tcd,2005,37.03
tcd,2006,34.91
tcd,2007,30.89
tcd,2008,26.17
tcd,2009,28.51
tcd,2010,25.74
chl,1970,34.97
chl,1971,29.65
chl,1972,31.85
chl,1973,24.34
chl,1974,34.32
chl,1975,79.56
chl,1976,58.96
chl,1977,42.81
chl,1978,49.52
chl,1979,46.73
chl,1980,45.52
chl,1981,50.45
chl,1982,77.63
chl,1983,99.74
chl,1984,115
chl,1985,141.5
chl,1986,134
chl,1987,112.2
chl,1988,86.4
chl,1989,68.32
chl,1990,64.52
chl,1991,52.07
chl,1992,44.97
chl,1993,43.48
chl,1994,42.12
chl,1995,32.11
chl,1996,37.48
chl,1997,33.73
chl,1998,43.49
chl,1999,49.17
chl,2000,51.48
chl,2001,58.43
chl,2002,63.91
chl,2003,61.52
chl,2004,49.83
chl,2005,42.16
chl,2006,39.1
chl,2007,38.58
chl,2008,41.52
chl,2009,48.99
chl,2010,45.92
chn,1981,2.989
chn,1982,4.106
chn,1983,4.185
chn,1984,4.665
chn,1985,5.429
chn,1986,7.965
chn,1987,13.08
chn,1988,13.72
chn,1989,13.05
chn,1990,15.45
chn,1991,15.84
chn,1992,17.13
chn,1993,19.56
chn,1994,18
chn,1995,16.49
chn,1996,15.27
chn,1997,15.58
chn,1998,14.36
chn,1999,13.92
chn,2000,12.28
chn,2001,14.07
chn,2002,12.85
chn,2003,12.63
chn,2004,12.73
chn,2005,12.48
chn,2006,11.83
chn,2007,10.6
chn,2008,8.341
chn,2009,8.585
chn,2010,9.288
col,1970,31.98
col,1971,32.97
col,1972,33.43
col,1973,31.45
col,1974,27.51
col,1975,29.42
col,1976,26.31
col,1977,26.36
col,1978,22.26
col,1979,21.22
col,1980,20.91
col,1981,24.24
col,1982,27.28
col,1983,30.56
col,1984,32.79
col,1985,42.94
col,1986,45.76
col,1987,49.09
col,1988,45.21
col,1989,45
col,1990,45.09
col,1991,43.65
col,1992,36.59
col,1993,35.11
col,1994,27.34
col,1995,27.54
col,1996,30.38
col,1997,30.62
col,1998,34.22
col,1999,40.66
col,2000,34.61
col,2001,37.69
col,2002,34.8
col,2003,40.43
col,2004,33.58
col,2005,26.75
col,2006,24.25
col,2007,21.91
col,2008,19.81
col,2009,23.03
col,2010,22.84
com,1970,4.747
com,1971,4.243
com,1972,4.451
com,1973,3.991
com,1974,7.216
com,1975,7.908
com,1976,35.8
com,1977,43.75
com,1978,40.15
com,1979,43.41
com,1980,35.43
com,1981,47.89
com,1982,64.04
com,1983,77.29
com,1984,98.06
com,1985,118.4
com,1986,103.5
com,1987,104
com,1988,97.45
com,1989,88.5
com,1990,75.31
com,1991,74.06
com,1992,70.61
com,1993,71.69
com,1994,108.8
com,1995,90.67
com,1996,96.3
com,1997,105.7
com,1998,106.6
com,1999,102.7
com,2000,111.8
com,2001,108.3
com,2002,105.7
com,2003,87.47
com,2004,81.58
com,2005,72.23
com,2006,69.96
com,2007,61.41
com,2008,52.67
com,2009,51.92
com,2010,90.08
cod,1970,7.039
cod,1971,7.245
cod,1972,10.88
cod,1973,13.24
cod,1974,16
cod,1975,19.96
cod,1976,30.67
cod,1977,30.35
cod,1978,29.36
cod,1979,30.31
cod,1980,33.85
cod,1981,41.76
cod,1982,38.4
cod,1983,49.91
cod,1984,69.23
cod,1985,90.64
cod,1986,90.02
cod,1987,125.1
cod,1988,105.6
cod,1989,110.5
cod,1990,119.6
cod,1991,130.1
cod,1992,146.3
cod,1993,112
cod,1994,240.2
cod,1995,271.4
cod,1996,237.7
cod,1997,217
cod,1998,226.6
cod,1999,279.1
cod,2000,298.4
cod,2001,269.1
cod,2002,191.6
cod,2003,205.2
cod,2004,182.2
cod,2005,156.8
cod,2006,138.1
cod,2007,128.5
cod,2008,118.1
cod,2009,117.8
cod,2010,47.08
cog,1970,44.52
cog,1971,44.71
cog,1972,39.19
cog,1973,36.25
cog,1974,45.74
cog,1975,48.41
cog,1976,53.16
cog,1977,79.55
cog,1978,94.73
cog,1979,94.46
cog,1980,97.64
cog,1981,75.99
cog,1982,93.82
cog,1983,102.3
cog,1984,97.21
cog,1985,147.3
cog,1986,184.6
cog,1987,182
cog,1988,211.1
cog,1989,207.8
cog,1990,211
cog,1991,209.4
cog,1992,184.3
cog,1993,302.1
cog,1994,350
cog,1995,479.3
cog,1996,351.6
cog,1997,297.9
cog,1998,337.8
cog,1999,299.1
cog,2000,210.2
cog,2001,225.2
cog,2002,230.1
cog,2003,210.3
cog,2004,207.8
cog,2005,152.1
cog,2006,128.5
cog,2007,98.26
cog,2008,67.97
cog,2009,71.28
cog,2010,43.86
cri,1970,29.62
cri,1971,31.08
cri,1972,32.99
cri,1973,31.49
cri,1974,36.53
cri,1975,42.19
cri,1976,42.13
cri,1977,44.01
cri,1978,49.4
cri,1979,54.43
cri,1980,59.46
cri,1981,141.3
cri,1982,165.5
cri,1983,114.8
cri,1984,92.97
cri,1985,97.28
cri,1986,87.77
cri,1987,84.98
cri,1988,78.87
cri,1989,70.77
cri,1990,52.27
cri,1991,57.32
cri,1992,46.78
cri,1993,40.81
cri,1994,37.19
cri,1995,32.75
cri,1996,29.52
cri,1997,27.2
cri,1998,28.62
cri,1999,29.67
cri,2000,31.54
cri,2001,30.72
cri,2002,30.9
cri,2003,33.36
cri,2004,32.08
cri,2005,33.84
cri,2006,32.11
cri,2007,33
cri,2008,31.78
cri,2009,27.74
cri,2010,26.81
civ,1970,26.44
civ,1971,34.12
civ,1972,32.43
civ,1973,35.86
civ,1974,35.83
civ,1975,39.03
civ,1976,40.59
civ,1977,42.38
civ,1978,50.52
civ,1979,54.96
civ,1980,77.09
civ,1981,102.9
civ,1982,127.5
civ,1983,144
civ,1984,134.6
civ,1985,153.4
civ,1986,135.2
civ,1987,147.6
civ,1988,143.4
civ,1989,177
civ,1990,187.3
civ,1991,199.2
civ,1992,189.1
civ,1993,197
civ,1994,230.7
civ,1995,188.7
civ,1996,174
civ,1997,141.9
civ,1998,123.6
civ,1999,112.2
civ,2000,124.9
civ,2001,116.9
civ,2002,109
civ,2003,93.53
civ,2004,89.41
civ,2005,76.15
civ,2006,76.94
civ,2007,73.31
civ,2008,56.02
civ,2009,53
civ,2010,52.6
dji,1991,42.42
dji,1992,44.17
dji,1993,47.54
dji,1994,50.69
dji,1995,52.9
dji,1996,56.43
dji,1997,51.02
dji,1998,53.16
dji,1999,48.81
dji,2000,45.51
dji,2001,44.3
dji,2002,54.08
dji,2003,57.99
dji,2004,57.42
dji,2005,52.39
dji,2006,54.95
dji,2007,72.15
dji,2008,65.13
dji,2009,67.43
dma,1981,21.63
dma,1982,28.4
dma,1983,42.97
dma,1984,53.23
dma,1985,58.18
dma,1986,52.35
dma,1987,58.95
dma,1988,52.51
dma,1989,53.02
dma,1990,54.5
dma,1991,55.34
dma,1992,51.81
dma,1993,49.67
dma,1994,48.02
dma,1995,49.04
dma,1996,52.78
dma,1997,45.77
dma,1998,46.44
dma,1999,47.7
dma,2000,71.1
dma,2001,89.01
dma,2002,100.4
dma,2003,121.3
dma,2004,120.9
dma,2005,101.3
dma,2006,84.24
dma,2007,89.04
dma,2008,85.16
dma,2009,71.24
dma,2010,73.17
dom,1970,24.38
dom,1971,24.25
dom,1972,21.73
dom,1973,20.02
dom,1974,19.78
dom,1975,18.71
dom,1976,20.62
dom,1977,24.94
dom,1978,28.02
dom,1979,28.93
dom,1980,31.18
dom,1981,32.88
dom,1982,32.69
dom,1983,35.19
dom,1984,31.2
dom,1985,74.11
dom,1986,62.74
dom,1987,70.97
dom,1988,78.57
dom,1989,63.36
dom,1990,64.69
dom,1991,47.95
dom,1992,42.53
dom,1993,39.58
dom,1994,30.91
dom,1995,28.53
dom,1996,24.88
dom,1997,22.52
dom,1998,21.71
dom,1999,22.6
dom,2000,19.78
dom,2001,21.61
dom,2002,24.68
dom,2003,33.59
dom,2004,35.25
dom,2005,22.03
dom,2006,25.08
dom,2007,25.85
dom,2008,23.16
dom,2009,24.64
dom,2010,26.2
ecu,1970,22.14
ecu,1971,24.69
ecu,1972,25.99
ecu,1973,21.13
ecu,1974,17.1
ecu,1975,19.77
ecu,1976,19.91
ecu,1977,35.02
ecu,1978,52.5
ecu,1979,48.92
ecu,1980,52.26
ecu,1981,57.27
ecu,1982,62.09
ecu,1983,72.35
ecu,1984,78.91
ecu,1985,80.72
ecu,1986,100.3
ecu,1987,129.8
ecu,1988,134.5
ecu,1989,135.7
ecu,1990,132.4
ecu,1991,121.8
ecu,1992,110.4
ecu,1993,99.01
ecu,1994,84.81
ecu,1995,71.97
ecu,1996,70.73
ecu,1997,67.36
ecu,1998,69.82
ecu,1999,104
ecu,2000,91.22
ecu,2001,70.34
ecu,2002,68.29
ecu,2003,61.1
ecu,2004,56.76
ecu,2005,49.13
ecu,2006,43.44
ecu,2007,40.69
ecu,2008,32.74
ecu,2009,25.19
ecu,2010,23.08
egy,1970,23.65
egy,1971,25.01
egy,1972,22.45
egy,1973,20.98
egy,1974,24.84
egy,1975,43.2
egy,1976,48.83
egy,1977,82.57
egy,1978,90.63
egy,1979,87.27
egy,1980,89.18
egy,1981,101.6
egy,1982,114.8
egy,1983,115.1
egy,1984,112.6
egy,1985,115
egy,1986,124.3
egy,1987,110.3
egy,1988,132.4
egy,1989,116.7
egy,1990,78.51
egy,1991,89.12
egy,1992,75.05
egy,1993,66.62
egy,1994,62.77
egy,1995,55.51
egy,1996,46.23
egy,1997,37.72
egy,1998,37.53
egy,1999,33.67
egy,2000,28.79
egy,2001,28.49
egy,2002,33.47
egy,2003,36.68
egy,2004,39.47
egy,2005,33.75
egy,2006,28.29
egy,2007,25.82
egy,2008,20.32
egy,2009,17.61
egy,2010,16.24
slv,1970,16.25
slv,1971,17.53
slv,1972,20.14
slv,1973,17.13
slv,1974,22.09
slv,1975,22.36
slv,1976,20.77
slv,1977,24.82
slv,1978,29.59
slv,1979,25.9
slv,1980,26.1
slv,1981,33.86
slv,1982,43.98
slv,1983,51.69
slv,1984,51.9
slv,1985,50.24
slv,1986,50.96
slv,1987,51.77
slv,1988,49.1
slv,1989,48.93
slv,1990,45.65
slv,1991,42.19
slv,1992,38.72
slv,1993,28.2
slv,1994,26.27
slv,1995,26.68
slv,1996,27.56
slv,1997,28.77
slv,1998,27.59
slv,1999,30.28
slv,2000,34.68
slv,2001,38.99
slv,2002,40.81
slv,2003,55.02
slv,2004,55.52
slv,2005,56.18
slv,2006,56.1
slv,2007,49.53
slv,2008,49.15
slv,2009,49.43
slv,2010,53.18
eri,1994,5.463
eri,1995,6.266
eri,1996,6.457
eri,1997,11.04
eri,1998,19.49
eri,1999,36.34
eri,2000,47.3
eri,2001,57.75
eri,2002,73.22
eri,2003,70.6
eri,2004,64.52
eri,2005,66.53
eri,2006,65.28
eri,2007,65.56
eri,2008,70.26
eri,2009,55.39
eri,2010,48.15
eth,1981,25.36
eth,1982,42.92
eth,1983,45.29
eth,1984,52.68
eth,1985,55.59
eth,1986,63.07
eth,1987,70.94
eth,1988,71.71
eth,1989,69.48
eth,1990,71.95
eth,1991,68.74
eth,1992,66.77
eth,1993,112.1
eth,1994,148.3
eth,1995,136.8
eth,1996,119.6
eth,1997,114.7
eth,1998,129.5
eth,1999,71.47
eth,2000,67.68
eth,2001,70.69
eth,2002,84.44
eth,2003,85.87
eth,2004,66.69
eth,2005,50.59
eth,2006,15.05
eth,2007,13.39
eth,2008,10.8
eth,2009,15.76
eth,2010,24.13
fji,1970,5.543
fji,1971,6.278
fji,1972,6.783
fji,1973,11.23
fji,1974,9.797
fji,1975,8.873
fji,1976,9.353
fji,1977,16.98
fji,1978,12.53
fji,1979,14.08
fji,1980,18.26
fji,1981,22.57
fji,1982,26.12
fji,1983,30.36
fji,1984,27.36
fji,1985,29.69
fji,1986,26.49
fji,1987,31.25
fji,1988,33.88
fji,1989,26.83
fji,1990,23.91
fji,1991,20.29
fji,1992,16.91
fji,1993,15.18
fji,1994,10.98
fji,1995,9.23
fji,1996,7.653
fji,1997,7.488
fji,1998,8.55
fji,1999,10.21
fji,2000,10.05
fji,2001,9.685
fji,2002,9.111
fji,2003,7.932
fji,2004,9.016
fji,2005,6.089
fji,2006,11.88
fji,2007,11.17
fji,2008,10.74
fji,2009,15.26
fji,2010,15.16
gab,1970,33.96
gab,1971,40.95
gab,1972,57.17
gab,1973,59.5
gab,1974,37.21
gab,1975,44.03
gab,1976,43.61
gab,1977,55.54
