geo,production_sector_aid_given_percent_of_aid,time
fin,17.19,1997
fin,21.17,1998
fin,9.27,1999
fin,8.61,2000
fin,11.60,2001
fin,12.61,2002
fin,5.57,2003
fin,10.36,2004
fin,10.66,2005
fin,12.59,2006
fin,13.56,2007
fra,33.39,1967
fra,59.12,1968
fra,51.41,1969
fra,40.09,1970
fra,15.46,1971
fra,9.46,1972
fra,23.65,1973
fra,25.78,1974
fra,24.45,1975
fra,27.81,1976
fra,26.80,1977
fra,22.10,1978
fra,21.24,1979
fra,18.72,1980
fra,24.64,1981
fra,20.00,1982
fra,18.60,1983
fra,15.32,1984
fra,18.45,1985
fra,23.77,1986
fra,18.11,1987
fra,18.26,1988
fra,12.28,1989
fra,12.33,1990
fra,16.19,1991
fra,21.84,1992
fra,15.33,1993
fra,10.61,1994
fra,10.81,1995
fra,10.77,1996
fra,13.03,1997
fra,10.72,1998
fra,9.53,1999
fra,10.80,2000
fra,12.93,2001
fra,8.57,2002
fra,6.67,2003
fra,6.89,2004
fra,5.34,2005
fra,4.10,2006
fra,13.09,2007
deu,64.93,1967
deu,41.95,1968
deu,30.71,1969
deu,49.44,1970
deu,19.13,1971
deu,18.62,1972
deu,40.84,1973
deu,39.97,1974
deu,40.88,1975
deu,33.34,1976
deu,37.84,1977
deu,37.43,1978
deu,39.76,1979
deu,33.49,1980
deu,22.40,1981
deu,29.01,1982
deu,26.88,1983
deu,13.02,1984
deu,20.95,1985
deu,20.99,1986
deu,23.68,1987
deu,26.38,1988
deu,20.31,1989
deu,21.74,1990
deu,14.35,1991
deu,23.69,1992
deu,18.37,1993
deu,14.06,1994
deu,14.16,1995
deu,15.35,1996
deu,11.74,1997
deu,15.51,1998
deu,6.46,1999
deu,8.01,2000
deu,6.21,2001
deu,7.76,2002
deu,6.02,2003
deu,5.69,2004
deu,6.27,2005
deu,8.82,2006
deu,6.22,2007
grc,3.34,1995
grc,3.31,1996
grc,7.02,1997
grc,12.71,1998
grc,5.18,1999
grc,4.38,2000
grc,3.79,2001
grc,2.01,2002
grc,1.47,2003
grc,1.92,2004
grc,1.64,2005
grc,2.05,2006
grc,3.51,2007
irl,31.33,1985
irl,39.79,1986
irl,32.48,1987
irl,37.80,1988
irl,35.58,1989
irl,44.19,1990
irl,19.18,1991
irl,14.24,1992
irl,13.99,1994
irl,9.58,1995
irl,9.58,1996
irl,10.95,1998
irl,11.44,1999
irl,12.99,2000
irl,13.05,2001
irl,7.16,2002
irl,7.19,2003
irl,7.50,2004
irl,6.02,2005
irl,7.18,2006
irl,7.55,2007
ita,58.03,1967
ita,34.37,1968
ita,4.20,1972
ita,100.00,1973
ita,36.05,1975
ita,100.00,1976
ita,22.83,1977
ita,26.79,1978
ita,42.72,1979
ita,67.53,1980
ita,31.08,1981
ita,33.02,1982
ita,39.81,1983
ita,43.56,1984
ita,37.92,1985
ita,30.95,1986
ita,34.44,1987
ita,34.68,1988
ita,47.42,1989
ita,29.37,1990
ita,23.74,1991
ita,30.47,1992
ita,22.24,1993
ita,13.98,1994
ita,9.79,1995
ita,17.68,1996
ita,8.22,1997
ita,24.40,1998
ita,14.74,1999
ita,33.75,2000
ita,17.18,2001
ita,11.67,2002
ita,9.45,2003
ita,10.02,2004
ita,4.66,2005
ita,6.15,2006
ita,10.20,2007
jpn,45.27,1967
jpn,7.71,1968
jpn,15.85,1969
jpn,29.23,1970
jpn,47.89,1971
jpn,41.17,1972
jpn,47.92,1973
jpn,46.22,1974
jpn,36.12,1975
jpn,39.34,1976
jpn,36.92,1977
jpn,25.73,1978
jpn,39.74,1979
jpn,26.17,1980
jpn,41.80,1981
jpn,32.91,1982
jpn,28.51,1983
jpn,29.21,1984
jpn,31.19,1985
jpn,30.23,1986
jpn,18.92,1987
jpn,25.50,1988
jpn,24.86,1989
jpn,24.76,1990
jpn,18.07,1991
jpn,32.49,1992
jpn,16.66,1993
jpn,15.05,1994
jpn,13.53,1995
jpn,20.85,1996
jpn,18.36,1997
jpn,16.76,1998
jpn,20.10,1999
jpn,11.84,2000
jpn,20.30,2001
jpn,14.90,2002
jpn,13.27,2003
jpn,10.84,2004
jpn,14.30,2005
jpn,13.88,2006
jpn,14.39,2007
lux,37.80,1992
lux,20.01,1993
lux,10.54,1995
lux,10.53,1996
lux,17.04,1997
lux,17.63,1998
lux,13.34,1999
lux,8.97,2000
lux,12.50,2004
lux,7.58,2005
lux,6.79,2006
lux,9.45,2007
nld,100.00,1967
nld,47.88,1968
nld,24.16,1969
nld,40.06,1970
nld,6.32,1971
nld,4.20,1972
nld,32.26,1973
nld,35.47,1974
nld,39.69,1975
nld,30.93,1976
nld,38.33,1977
nld,44.39,1978
nld,43.39,1979
nld,31.69,1980
nld,40.15,1981
nld,33.84,1982
nld,35.92,1983
nld,31.26,1984
nld,28.36,1985
nld,34.79,1986
nld,41.47,1987
nld,33.69,1988
nld,34.75,1989
nld,33.37,1990
nld,33.56,1991
nld,27.43,1992
nld,30.57,1993
nld,32.10,1994
nld,21.08,1995
nld,15.22,1996
nld,14.78,1997
nld,18.19,1998
nld,13.12,1999
nld,7.99,2000
nld,11.90,2001
nld,7.48,2002
nld,7.48,2003
nld,7.79,2004
nld,7.25,2005
nld,4.44,2006
nld,5.91,2007
nzl,33.94,1973
nzl,22.24,1974
nzl,33.99,1975
nzl,34.79,1976
nzl,28.26,1977
nzl,35.46,1978
nzl,27.42,1979
nzl,30.55,1980
nzl,37.30,1981
nzl,33.87,1982
nzl,20.05,1983
nzl,22.67,1984
nzl,31.69,1985
nzl,41.73,1986
nzl,20.00,1987
nzl,18.17,1988
nzl,59.70,1990
nzl,13.80,1991
nzl,24.08,1992
nzl,22.63,1993
nzl,20.56,1994
nzl,20.57,1995
nzl,10.85,1998
nzl,9.71,1999
nzl,8.73,2000
nzl,7.89,2001
nzl,7.41,2002
nzl,6.92,2003
nzl,8.25,2004
nzl,9.19,2005
nzl,10.01,2006
nzl,7.83,2007
nor,54.44,1967
nor,48.63,1968
nor,52.87,1969
nor,29.90,1970
nor,19.88,1971
nor,31.80,1972
nor,43.92,1973
nor,33.69,1974
nor,50.58,1975
nor,30.16,1976
nor,44.22,1977
nor,38.33,1978
nor,36.78,1979
nor,43.61,1980
nor,55.76,1981
nor,39.10,1982
nor,35.06,1983
nor,35.07,1984
nor,33.39,1985
nor,29.94,1986
nor,29.61,1987
nor,29.38,1988
nor,40.13,1989
nor,22.97,1990
nor,17.55,1991
nor,15.00,1992
nor,24.35,1993
nor,16.60,1994
nor,13.33,1995
nor,11.62,1996
nor,9.09,1997
nor,8.78,1998
nor,9.99,1999
nor,11.68,2000
nor,9.65,2001
nor,7.85,2002
nor,7.23,2003
nor,9.80,2004
nor,8.22,2005
nor,7.82,2006
nor,6.90,2007
prt,5.26,1992
prt,11.30,1994
prt,10.94,1995
prt,13.46,1996
prt,9.41,1997
prt,11.21,1998
prt,2.73,1999
prt,2.44,2000
prt,5.29,2001
prt,4.20,2002
prt,2.45,2003
prt,3.19,2004
prt,3.39,2005
prt,1.77,2006
prt,1.05,2007
esp,11.14,1991
esp,26.74,1992
esp,12.84,1993
esp,29.47,1994
esp,22.79,1995
esp,13.04,1996
esp,19.89,1997
esp,6.94,1998
esp,9.93,1999
esp,8.73,2000
esp,10.01,2001
esp,9.83,2002
esp,9.19,2003
esp,11.23,2004
esp,9.26,2005
esp,8.77,2006
esp,6.84,2007
swe,44.68,1967
swe,66.10,1968
swe,7.08,1969
swe,32.29,1970
swe,45.74,1971
swe,13.40,1972
swe,36.83,1973
swe,58.90,1974
swe,46.88,1975
swe,48.39,1976
swe,50.17,1977
swe,43.14,1978
swe,51.57,1979
swe,74.32,1980
swe,47.09,1981
swe,42.60,1982
swe,42.05,1983
swe,34.26,1984
swe,33.67,1985
swe,27.40,1986
swe,41.67,1987
swe,25.36,1988
swe,29.19,1989
swe,36.32,1990
swe,30.59,1991
swe,28.07,1992
swe,18.78,1993
swe,20.65,1994
swe,18.69,1995
swe,15.23,1996
swe,16.25,1997
swe,12.56,1998
swe,7.24,1999
swe,5.33,2000
swe,8.51,2001
swe,5.35,2002
swe,5.68,2003
swe,5.54,2004
swe,8.97,2005
swe,10.89,2006
swe,12.45,2007
che,59.54,1967
che,67.00,1968
che,64.69,1969
che,69.86,1970
che,43.73,1971
che,27.82,1972
che,67.11,1973
che,48.98,1974
che,37.85,1975
che,49.91,1976
che,55.27,1977
che,52.08,1978
che,65.80,1979
che,53.56,1980
che,51.32,1981
che,71.74,1982
che,65.48,1983
che,44.12,1984
che,48.35,1985
che,59.09,1986
che,40.40,1987
che,45.07,1988
che,39.81,1989
che,35.33,1990
che,31.84,1991
che,20.54,1992
che,25.24,1993
che,32.72,1994
che,26.31,1995
che,27.45,1996
che,24.09,1998
che,13.49,1999
che,10.24,2000
che,9.88,2001
che,11.65,2002
che,18.39,2003
che,19.05,2004
che,16.13,2005
che,16.76,2006
che,15.57,2007
gbr,42.16,1967
gbr,28.74,1968
gbr,22.17,1969
gbr,43.44,1970
gbr,27.32,1971
gbr,7.48,1972
gbr,48.06,1973
gbr,57.82,1974
gbr,85.24,1975
gbr,89.87,1976
gbr,57.87,1977
gbr,46.75,1978
gbr,55.09,1979
gbr,47.74,1980
gbr,57.46,1981
gbr,38.85,1982
gbr,45.52,1983
gbr,18.82,1984
gbr,35.99,1985
gbr,30.78,1986
gbr,41.04,1987
gbr,16.00,1988
gbr,20.92,1989
gbr,28.67,1990
gbr,22.46,1991
gbr,30.01,1992
gbr,25.70,1993
gbr,25.15,1994
gbr,22.40,1995
gbr,21.76,1996
gbr,19.18,1997
gbr,20.92,1998
gbr,24.18,1999
gbr,23.50,2000
gbr,17.60,2001
gbr,15.43,2002
gbr,11.56,2003
gbr,9.37,2004
gbr,9.13,2005
gbr,7.57,2006
gbr,5.25,2007
usa,53.16,1967
usa,58.53,1968
usa,55.61,1969
usa,52.15,1970
usa,14.52,1971
usa,11.42,1972
usa,38.76,1973
usa,45.63,1975
usa,49.00,1976
usa,40.89,1978
usa,49.51,1979
usa,57.94,1980
usa,51.18,1981
usa,58.90,1982
usa,53.74,1983
usa,17.76,1984
usa,37.05,1985
usa,39.47,1986
usa,31.38,1987
usa,39.32,1988
usa,34.07,1989
usa,22.79,1990
usa,22.73,1991
usa,22.73,1992
usa,22.73,1993
usa,18.35,1994
usa,25.51,1995
usa,25.54,1996
usa,8.54,1997
usa,7.86,1998
usa,4.35,1999
usa,7.13,2000
usa,10.78,2001
usa,11.21,2002
usa,9.90,2003
usa,8.79,2004
usa,9.85,2005
usa,7.47,2006
usa,8.76,2007
